日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-21,'002722,金轮股份,28.53,28.94,28.29,28.29,28.61,-0.08,-0.2796,1.773,1543201,44394298.79,5006060443.26,2483151887.07
2017-12-20,'002722,金轮股份,28.61,29.53,28.5,29.35,29.55,-0.94,-3.181,2.5364,2207600,63917263.39,5020097766.62,2490114808.59
2017-12-19,'002722,金轮股份,29.55,29.72,28.84,29.55,29.72,-0.17,-0.572,3.3917,2952017,86478081.59,5185036316.1,2571929136.45
2017-12-18,'002722,金轮股份,29.72,29.94,29.23,29.38,29.19,0.53,1.8157,3.1098,2706689,80234087.29,5214865628.24,2586725344.68
2017-12-15,'002722,金轮股份,29.19,29.46,29.0,29.25,29.25,-0.06,-0.2051,1.747,1520501,44506580.36,5121868360.98,2540595989.61
2017-12-14,'002722,金轮股份,29.25,29.39,28.8,29.15,29.3,-0.05,-0.1706,2.6034,2265910,65951332.0,5132396353.5,2545818180.75
2017-12-13,'002722,金轮股份,29.3,29.35,28.7,28.85,28.75,0.55,1.913,3.0538,2657880,77317641.29,5141169680.6,2550170006.7
2017-12-12,'002722,金轮股份,28.75,29.11,28.61,28.99,29.09,-0.34,-1.1688,2.6737,2327100,67054493.0,5044663082.5,2502299921.25
2017-12-11,'002722,金轮股份,29.09,29.25,28.0,28.1,28.23,0.86,3.0464,4.4535,3876201,112141566.83,5104321706.78,2531892337.71
2017-12-08,'002722,金轮股份,28.23,28.66,28.16,28.17,28.17,0.06,0.213,2.3459,2041800,57969899.0,4953420480.66,2457040931.37
2017-12-07,'002722,金轮股份,28.17,28.95,27.92,28.06,28.2,-0.03,-0.1064,3.446,2999300,85265581.99,4942892488.14,2451818740.23
2017-12-06,'002722,金轮股份,28.2,28.26,27.05,27.4,27.26,0.94,3.4483,3.6286,3158170,87461061.8,4948156484.4,2454429835.8
2017-12-05,'002722,金轮股份,27.26,27.83,27.03,27.56,27.42,-0.16,-0.5835,2.7878,2426400,66543899.0,4783217934.92,2372615507.94
2017-12-04,'002722,金轮股份,27.42,28.69,27.28,28.49,28.9,-1.48,-5.1211,4.4028,3832060,107350759.0,4811292581.64,2386541350.98
2017-12-01,'002722,金轮股份,28.9,29.1,27.89,28.18,28.2,0.7,2.4823,4.4057,3834561,109685732.8,5070983063.8,2515355399.1
2017-11-30,'002722,金轮股份,28.2,28.44,27.5,27.78,27.85,0.35,1.2567,3.7764,3286890,92058872.1,4948156484.4,2454429835.8
2017-11-29,'002722,金轮股份,27.85,28.28,27.4,27.61,27.6,0.25,0.9058,4.3718,3805100,106274118.4,4886743194.7,2423967054.15
2017-11-28,'002722,金轮股份,27.6,27.68,26.88,26.96,26.96,0.64,2.3739,4.8025,4179911,114027420.32,4842876559.2,2402207924.4
2017-11-27,'002722,金轮股份,26.96,28.15,26.75,28.0,28.42,-1.46,-5.1372,7.4139,6452800,175582424.93,4730577972.32,2346504552.24
2017-11-24,'002722,金轮股份,28.42,31.52,28.4,31.5,31.23,-2.81,-8.9978,10.5216,9157601,274257225.13,4986759123.64,2473577869.98
2017-11-23,'002722,金轮股份,31.23,32.49,31.2,31.6,32.1,-0.87,-2.7103,8.9159,7760101,245711952.82,5479820106.66,2718150488.37
2017-11-22,'002722,金轮股份,32.1,33.79,31.56,32.03,33.0,-0.9,-2.7273,12.8253,11162681,363729654.42,5632475998.2,2793872259.9
2017-11-21,'002722,金轮股份,33.0,36.08,33.0,34.03,34.5,-1.5,-4.3478,20.4528,17801434,616636538.7,5790395886.0,2872205127.0
2017-11-20,'002722,金轮股份,34.5,34.88,33.34,33.62,33.6,0.9,2.6786,17.8343,15522388,533515476.13,6053595699.0,3002759905.5
2017-11-17,'002722,金轮股份,33.6,33.94,30.6,31.31,31.18,2.42,7.7614,13.419,11679425,382505194.8,5895675811.2,2924427038.4
2017-11-16,'002722,金轮股份,31.18,33.09,31.1,32.8,32.84,-1.66,-5.0548,7.291,6345869,203618949.3,5471046779.56,2713798662.42
2017-11-15,'002722,金轮股份,32.84,34.23,32.73,33.73,33.99,-1.15,-3.3833,6.6453,5783848,194224341.14,5762321239.28,2858279283.96
2017-11-14,'002722,金轮股份,33.99,35.4,33.61,34.6,34.85,-0.86,-2.4677,9.403,8184024,282594216.54,5964107762.58,2958371280.81
2017-11-13,'002722,金轮股份,34.85,34.88,33.06,33.13,33.49,1.36,4.0609,11.7368,10215261,351108724.97,6115008988.7,3033222687.15
