�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2018-01-17,'002032,劼 眼 嫌,41.78,42.64,41.3,42.45,42.45,-0.67,-1.5783,0.4522,2470040,103446032.33,34313396345.8,22823590349.1
2018-01-16,'002032,劼 眼 嫌,42.45,43.28,41.2,41.58,41.58,0.87,2.0924,0.749,4091573,174565870.8,34863659044.5,23189598140.7
2018-01-15,'002032,劼 眼 嫌,41.58,42.3,39.66,39.66,39.97,1.61,4.028,0.933,5096633,210910328.51,34149138823.8,22714334291.9
2018-01-12,'002032,劼 眼 嫌,39.97,40.25,39.01,39.45,39.63,0.34,0.8579,0.4667,2549640,100986197.15,32826865771.7,21834823031.4
2018-01-11,'002032,劼 眼 嫌,39.63,40.24,39.38,39.58,39.87,-0.24,-0.602,0.5023,2743869,108993277.23,32547627984.3,21649087734.2
2018-01-10,'002032,劼 眼 嫌,39.87,40.55,39.37,40.5,40.63,-0.76,-1.8705,0.8516,4652345,185709550.61,32744737010.7,21780195002.8
2018-01-09,'002032,劼 眼 嫌,40.63,40.91,40.23,40.7,40.59,0.04,0.0985,0.3498,1910790,77608185.64,33368915594.3,22195368020.2
2018-01-08,'002032,劼 眼 嫌,40.59,41.0,40.5,40.99,41.11,-0.52,-1.2649,0.1829,999060,40594718.43,33336064089.9,22173516808.7
2018-01-05,'002032,劼 眼 嫌,41.11,41.44,40.04,41.3,41.35,-0.24,-0.5804,0.3383,1848081,75425227.74,33763133647.1,22457582557.5
2018-01-04,'002032,劼 眼 嫌,41.35,41.45,40.7,40.89,41.1,0.25,0.6083,0.2508,1369908,56351287.79,33960242673.5,22588689826.1
2018-01-03,'002032,劼 眼 嫌,41.1,41.18,40.49,40.9,40.71,0.39,0.958,0.2768,1504967,61625884.55,33754920771.0,22346435214.6
2018-01-02,'002032,劼 眼 嫌,40.71,41.15,40.17,40.17,40.38,0.33,0.8172,0.3415,1856914,75613610.74,33434618603.1,22134388749.1
2017-12-29,'002032,劼 眼 嫌,40.38,40.88,40.01,40.64,40.8,-0.42,-1.0294,0.3957,2151352,86578486.7,33163593691.8,21954964816.7
2017-12-28,'002032,劼 眼 嫌,40.8,41.2,40.11,40.81,40.91,-0.11,-0.2689,0.4185,2291566,93222001.21,33508534488.0,22341381748.8
2017-12-27,'002032,劼 眼 嫌,40.91,42.65,40.7,42.5,42.75,-1.84,-4.3041,0.5486,3003927,124744429.07,33598876125.1,22401615866.3
2017-12-26,'002032,劼 眼 嫌,42.75,43.11,42.12,43.1,43.11,-0.36,-0.8351,0.3533,1934361,82404307.76,35110045327.5,23409168376.5
2017-12-25,'002032,劼 眼 嫌,43.11,43.2,41.66,41.93,41.98,1.13,2.6918,0.3967,2172359,92585967.39,35405708867.1,23606298215.5
2017-12-22,'002032,劼 眼 嫌,41.98,42.3,41.5,41.85,41.98,0.0,0.0,0.1673,916149,38399896.1,34477653867.8,22987529554.3
2017-12-21,'002032,劼 眼 嫌,41.98,42.3,41.4,41.9,41.91,0.07,0.167,0.256,1401722,58718771.09,34477653867.8,22987529554.3
2017-12-20,'002032,劼 眼 嫌,41.91,42.5,41.09,41.67,41.73,0.18,0.4313,0.2944,1612355,67468002.85,34420163735.1,22949198752.3
2017-12-19,'002032,劼 眼 嫌,41.73,41.74,40.39,40.39,40.63,1.1,2.7074,0.1892,1035858,42761589.09,34272331965.3,22850633832.8
2017-12-18,'002032,劼 眼 嫌,40.63,40.88,39.53,40.0,40.03,0.6,1.4989,0.1244,681028,27599379.97,33368915594.3,22248292658.2
2017-12-15,'002032,劼 眼 嫌,40.03,41.4,39.88,41.0,41.27,-1.24,-3.0046,0.1954,1070088,43335542.92,32876143028.3,21919742926.6
2017-12-14,'002032,劼 眼 嫌,41.27,41.98,40.82,41.22,41.85,-0.58,-1.3859,0.2969,1625533,67096171.96,33894539664.7,22598745705.2
2017-12-13,'002032,劼 眼 嫌,41.85,41.98,40.63,41.0,40.78,1.07,2.6238,0.1834,1004344,41555741.97,34370886478.5,22916343779.1
