хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-01-05,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,7.9,None,None,0.0,0,0.0,4630825973.7,3200555076.6
2018-01-04,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,7.9,None,None,0.0,0,0.0,4630825973.7,3200555076.6
2018-01-03,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,7.9,None,None,0.0,0,0.0,4630825973.7,3200555076.6
2018-01-02,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,7.9,None,None,0.0,0,0.0,4630825973.7,3200555076.6
2017-12-29,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,7.9,None,None,0.0,0,0.0,4630825973.7,3200555076.6
2017-12-28,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,7.9,None,None,0.0,0,0.0,4630825973.7,3200555076.6
2017-12-27,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,7.9,None,None,0.0,0,0.0,4630825973.7,3200555076.6
2017-12-26,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,7.9,None,None,0.0,0,0.0,4630825973.7,3200555076.6
2017-12-25,'300173,жг╩шки╣б,7.9,8.22,7.9,8.22,8.11,-0.21,-2.5894,0.4575,1853603,14873394.4,4630825973.7,3200555076.6
2017-12-22,'300173,жг╩шки╣б,8.11,8.23,8.11,8.2,8.22,-0.11,-1.3382,0.3748,1518567,12384061.37,4753923879.33,3285633122.94
2017-12-21,'300173,жг╩шки╣б,8.22,8.29,8.16,8.2,8.29,-0.07,-0.8444,0.2517,1019641,8372261.9,4818403734.66,3330197813.88
2017-12-20,'300173,жг╩шки╣б,8.29,8.44,8.2,8.43,8.43,-0.14,-1.6607,0.3759,1523000,12613465.0,4859436369.87,3358557162.66
2017-12-19,'300173,жг╩шки╣б,8.43,8.44,8.21,8.33,8.33,0.1,1.2005,0.3332,1349800,11291152.0,4941501640.29,3415275860.22
2017-12-18,'300173,жг╩шки╣б,8.33,8.5,8.16,8.5,8.38,-0.05,-0.5967,0.4924,1995041,16569668.57,4882883589.99,3374762504.82
2017-12-15,'300173,жг╩шки╣б,8.38,8.51,8.34,8.51,8.44,-0.06,-0.7109,0.2793,1131500,9504343.0,4912192615.14,3395019182.52
2017-12-14,'300173,жг╩шки╣б,8.44,8.6,8.38,8.6,8.51,-0.07,-0.8226,0.4195,1699737,14351128.43,4947363445.32,3419327195.76
2017-12-13,'300173,жг╩шки╣б,8.51,8.57,8.36,8.57,8.48,0.03,0.3538,0.3692,1495900,12669074.0,4988396080.53,3447686544.54
2017-12-12,'300173,жг╩шки╣б,8.48,8.66,8.45,8.66,8.67,-0.19,-2.1915,0.7626,3089421,26323960.5,4970810665.44,3435532537.92
2017-12-11,'300173,жг╩шки╣б,8.67,9.17,8.44,8.45,8.35,0.32,3.8323,0.8465,3429433,29840707.46,5082184961.01,3512507913.18
2017-12-08,'300173,жг╩шки╣б,8.35,8.51,8.29,8.38,8.31,0.04,0.4813,0.9772,3959115,33167416.2,4894607200.05,3382865175.9
2017-12-07,'300173,жг╩шки╣б,8.31,8.48,8.3,8.42,8.42,-0.11,-1.3064,0.3352,1357867,11366622.1,4871159979.93,3366659833.74
