日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-15,'603139,康惠制药,24.4,24.53,24.07,24.3,24.41,-0.01,-0.041,1.7786,444119,10789156.0,2437072000.0,609268000.0
2017-12-14,'603139,康惠制药,24.41,24.45,24.04,24.38,24.33,0.08,0.3288,1.7688,441681,10699424.0,2438070800.0,609517700.0
2017-12-13,'603139,康惠制药,24.33,24.47,24.0,24.3,24.06,0.27,1.1222,1.7557,438410,10644702.0,2430080400.0,607520100.0
2017-12-12,'603139,康惠制药,24.06,24.8,23.98,24.61,24.81,-0.75,-3.023,2.517,628500,15282328.0,2403112800.0,600778200.0
2017-12-11,'603139,康惠制药,24.81,24.88,24.58,24.6,24.72,0.09,0.3641,1.8813,469758,11634908.0,2478022800.0,619505700.0
2017-12-08,'603139,康惠制药,24.72,24.96,24.37,24.48,24.42,0.3,1.2285,2.7414,684516,16939459.0,2469033600.0,617258400.0
2017-12-07,'603139,康惠制药,24.42,24.59,24.29,24.44,24.55,-0.13,-0.5295,1.7904,447068,10927680.0,2439069600.0,609767400.0
2017-12-06,'603139,康惠制药,24.55,24.56,23.96,24.28,24.26,0.29,1.1954,2.6809,669419,16288439.0,2452054000.0,613013500.0
2017-12-05,'603139,康惠制药,24.26,25.69,23.99,25.56,25.56,-1.3,-5.0861,5.4194,1353216,33384975.0,2423088800.0,605772200.0
2017-12-04,'603139,康惠制药,25.56,26.73,25.51,26.73,26.75,-1.19,-4.4486,4.3219,1079173,28055712.0,2552932800.0,638233200.0
2017-12-01,'603139,康惠制药,26.75,26.79,26.41,26.49,26.49,0.26,0.9815,1.9439,485400,12939088.0,2671790000.0,667947500.0
2017-11-30,'603139,康惠制药,26.49,26.88,26.35,26.49,26.54,-0.05,-0.1884,1.9888,496600,13209375.0,2645821200.0,661455300.0
2017-11-29,'603139,康惠制药,26.54,26.89,26.18,26.71,26.92,-0.38,-1.4116,2.5249,630464,16692745.0,2650815200.0,662703800.0
2017-11-28,'603139,康惠制药,26.92,26.95,26.21,26.22,26.24,0.68,2.5915,2.6325,657346,17528122.0,2688769600.0,672192400.0
2017-11-27,'603139,康惠制药,26.24,26.39,25.9,26.25,26.24,0.0,0.0,1.7153,428300,11225250.0,2620851200.0,655212800.0
2017-11-24,'603139,康惠制药,26.24,26.4,26.0,26.08,26.2,0.04,0.1527,2.1511,537142,14103131.0,2620851200.0,655212800.0
2017-11-23,'603139,康惠制药,26.2,27.27,26.02,27.02,26.99,-0.79,-2.927,3.4802,869000,23158608.0,2616856000.0,654214000.0
2017-11-22,'603139,康惠制药,26.99,27.4,26.7,26.7,26.97,0.02,0.0742,2.8231,704927,19047679.0,2695761200.0,673940300.0
2017-11-21,'603139,康惠制药,26.97,27.44,26.36,27.21,27.4,-0.43,-1.5693,5.2113,1301251,35113905.0,2693763600.0,673440900.0
2017-11-20,'603139,康惠制药,27.4,27.56,26.0,27.54,27.56,-0.16,-0.5806,6.0968,1522379,40821753.0,2736712000.0,684178000.0
2017-11-17,'603139,康惠制药,27.56,29.72,27.1,29.72,29.78,-2.22,-7.4547,10.4009,2597115,73959160.0,2752692800.0,688173200.0
2017-11-16,'603139,康惠制药,29.78,30.89,29.7,30.7,31.43,-1.65,-5.2498,11.5901,2894047,87753857.0,2974426400.0,743606600.0
2017-11-15,'603139,康惠制药,31.43,32.2,31.15,31.15,31.31,0.12,0.3833,15.2072,3797231,120380484.0,3139228400.0,784807100.0
2017-11-14,'603139,康惠制药,31.31,31.41,30.55,30.95,30.91,0.4,1.2941,11.1884,2793743,86819724.0,3127242800.0,781810700.0
2017-11-13,'603139,康惠制药,30.91,31.0,30.38,31.0,30.91,0.0,0.0,6.2431,1558908,47890661.0,3087290800.0,771822700.0
2017-11-10,'603139,康惠制药,30.91,31.31,30.79,30.88,30.81,0.1,0.3246,8.1444,2033659,63101506.0,3087290800.0,771822700.0
2017-11-09,'603139,康惠制药,30.81,31.1,30.52,30.82,30.8,0.01,0.0325,5.6236,1404215,43215419.0,3077302800.0,769325700.0
2017-11-08,'603139,康惠制药,30.8,31.48,30.77,30.96,31.2,-0.4,-1.2821,8.2612,2062833,63943346.0,3076304000.0,769076000.0
