ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-01-17,'000826,ÆôµÏÉ£µÂ,30.89,31.15,30.11,31.09,31.09,-0.2,-0.6433,0.7423,6341381,193922838.87,31564699040.2,26389252246.2
2018-01-16,'000826,ÆôµÏÉ£µÂ,31.09,31.67,30.8,31.46,31.49,-0.4,-1.2702,0.923,7884874,245329410.06,31769067438.0,26560111762.2
2018-01-15,'000826,ÆôµÏÉ£µÂ,31.49,32.75,31.4,32.75,32.84,-1.35,-4.1108,1.1521,9842023,313608000.32,32177804233.6,26901830794.2
2018-01-12,'000826,ÆôµÏÉ£µÂ,32.84,33.51,32.81,33.2,33.27,-0.43,-1.2925,0.601,5134705,169765598.5,33557290918.8,28055132527.2
2018-01-11,'000826,ÆôµÏÉ£µÂ,33.27,33.35,33.08,33.2,33.24,0.03,0.0903,0.319,2725328,90522467.71,33996682974.0,28422480486.6
2018-01-10,'000826,ÆôµÏÉ£µÂ,33.24,33.54,33.01,33.27,33.27,-0.03,-0.0902,0.5461,4665171,155358500.99,33966027714.4,28396851559.2
2018-01-09,'000826,ÆôµÏÉ£µÂ,33.27,33.45,33.03,33.24,33.2,0.07,0.2108,0.4805,4104620,136349814.66,33996682974.0,28422480486.6
2018-01-08,'000826,ÆôµÏÉ£µÂ,33.2,33.36,32.95,33.36,33.36,-0.16,-0.4796,0.5422,4632292,153373892.53,33925154034.8,28362679656.0
2018-01-05,'000826,ÆôµÏÉ£µÂ,33.36,33.63,33.34,33.42,33.47,-0.11,-0.3287,0.6809,5816603,194621278.36,34088648753.0,28499367268.8
2018-01-04,'000826,ÆôµÏÉ£µÂ,33.47,34.03,33.39,33.7,33.8,-0.33,-0.9763,0.8892,7596024,255519247.62,34201051371.8,28593340002.6
2018-01-03,'000826,ÆôµÏÉ£µÂ,33.8,34.17,33.05,33.06,33.04,0.76,2.3002,1.3588,11608307,391756122.38,34538259228.2,28875258204.0
2018-01-02,'000826,ÆôµÏÉ£µÂ,33.04,33.27,32.73,33.24,33.02,0.02,0.0606,0.7372,6297690,207351118.53,33761659316.6,28225992043.2
2017-12-29,'000826,ÆôµÏÉ£µÂ,33.02,33.37,32.77,33.33,33.15,-0.13,-0.3922,0.7571,6467829,213606339.9,33741222476.8,28208906091.6
2017-12-28,'000826,ÆôµÏÉ£µÂ,33.15,33.59,33.05,33.3,33.17,-0.02,-0.0603,0.5287,4516515,150429426.43,33874061935.3,28319964777.0
2017-12-27,'000826,ÆôµÏÉ£µÂ,33.17,33.79,33.13,33.79,33.76,-0.59,-1.7476,0.9101,7774819,259561489.05,33894498775.1,28337050728.6
2017-12-26,'000826,ÆôµÏÉ£µÂ,33.76,33.96,33.4,33.59,33.59,0.17,0.5061,0.6196,5293020,178239083.58,34497385548.6,28841086300.8
2017-12-25,'000826,ÆôµÏÉ£µÂ,33.59,34.58,33.5,34.5,34.46,-0.87,-2.5247,0.6238,5329097,180491113.97,34323672410.5,28695855712.2
2017-12-22,'000826,ÆôµÏÉ£µÂ,34.46,34.99,34.41,34.89,34.75,-0.29,-0.8345,0.5446,4652143,161122967.22,35212674940.9,29439094606.8
2017-12-21,'000826,ÆôµÏÉ£µÂ,34.75,35.36,34.65,34.97,34.69,0.06,0.173,1.0239,8747482,305736129.15,35509009117.8,29686840905.0
2017-12-20,'000826,ÆôµÏÉ£µÂ,34.69,35.14,34.59,34.87,34.99,-0.3,-0.8574,0.4738,4047975,141000031.48,35447698598.4,29635583050.2
2017-12-19,'000826,ÆôµÏÉ£µÂ,34.99,35.09,33.89,33.98,33.98,1.01,2.9723,0.9866,8428913,290496597.29,35754251195.1,29891872324.2
2017-12-18,'000826,ÆôµÏÉ£µÂ,33.98,34.64,33.94,34.45,34.42,-0.44,-1.2783,0.3759,3210970,109938043.93,34722190786.2,29029031768.4
2017-12-15,'000826,ÆôµÏÉ£µÂ,34.42,34.87,34.29,34.73,34.88,-0.46,-1.3188,0.4203,3590753,123726195.73,35171801261.4,29404922703.6
2017-12-14,'000826,ÆôµÏÉ£µÂ,34.88,35.09,34.69,34.83,34.83,0.05,0.1436,0.3706,3166446,110529442.61,35641848576.3,29797899590.4
2017-12-13,'000826,ÆôµÏÉ£µÂ,34.83,34.85,34.4,34.58,34.45,0.38,1.103,0.374,3195396,110930046.1,35590756476.9,29755184711.4
2017-12-12,'000826,ÆôµÏÉ£µÂ,34.45,34.9,34.38,34.68,34.68,-0.23,-0.6632,0.26,2221131,76862202.62,35202456521.1,29430551631.0
2017-12-11,'000826,ÆôµÏÉ£µÂ,34.68,34.9,34.26,34.51,34.44,0.24,0.6969,0.4715,4027633,139002309.57,35437480178.5,29627040074.4
2017-12-08,'000826,ÆôµÏÉ£µÂ,34.44,34.96,33.47,33.66,33.79,0.65,1.9236,0.6033,5154082,176702656.41,35192238101.2,29422008655.2
2017-12-07,'000826,ÆôµÏÉ£µÂ,33.79,33.86,33.6,33.71,33.74,0.05,0.1482,0.2873,2454317,82817980.15,34528040808.3,28866715228.2
2017-12-06,'000826,ÆôµÏÉ£µÂ,33.74,33.95,33.33,33.51,33.77,-0.03,-0.0888,0.4725,4036915,135996342.4,34476948708.9,28824000349.2
2017-12-05,'000826,ÆôµÏÉ£µÂ,33.77,33.99,33.27,33.4,33.5,0.27,0.806,0.893,7629060,257001872.86,34507603968.5,28849629276.6
2017-12-04,'000826,ÆôµÏÉ£µÂ,33.5,33.81,33.24,33.6,33.49,0.01,0.0299,0.5967,5097956,171049697.59,34231706631.5,28618968930.0
2017-12-01,'000826,ÆôµÏÉ£µÂ,33.49,34.88,33.45,34.68,34.73,-1.24,-3.5704,1.2029,10276135,350293906.45,34221488211.6,28610425954.2
