日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-21,'603022,新通联,12.19,12.36,12.12,12.36,12.31,-0.12,-0.9748,0.9471,615600,7521614.0,2438000000.0,792350000.0
2017-12-20,'603022,新通联,12.31,12.38,12.22,12.32,12.32,-0.01,-0.0812,0.8328,541300,6647098.0,2462000000.0,800150000.0
2017-12-19,'603022,新通联,12.32,12.37,12.19,12.19,12.2,0.12,0.9836,0.8191,532400,6556718.0,2464000000.0,800800000.0
2017-12-18,'603022,新通联,12.2,12.36,12.13,12.31,12.31,-0.11,-0.8936,1.0777,700500,8570959.0,2440000000.0,793000000.0
2017-12-15,'603022,新通联,12.31,12.35,12.21,12.32,12.33,-0.02,-0.1622,0.6275,407900,5009332.0,2462000000.0,800150000.0
2017-12-14,'603022,新通联,12.33,12.39,12.27,12.28,12.33,0.0,0.0,0.8677,564003,6950433.0,2466000000.0,801450000.0
2017-12-13,'603022,新通联,12.33,12.34,12.15,12.24,12.24,0.09,0.7353,0.7345,477450,5856028.0,2466000000.0,801450000.0
2017-12-12,'603022,新通联,12.24,12.49,12.2,12.44,12.49,-0.25,-2.0016,0.9771,635100,7812704.0,2448000000.0,795600000.0
2017-12-11,'603022,新通联,12.49,12.52,12.34,12.34,12.34,0.15,1.2156,1.2143,789300,9800912.0,2498000000.0,811850000.0
2017-12-08,'603022,新通联,12.34,12.37,12.2,12.2,12.25,0.09,0.7347,1.3835,899250,11080143.0,2468000000.0,802100000.0
2017-12-07,'603022,新通联,12.25,12.35,12.1,12.29,12.38,-0.13,-1.0501,1.4926,970187,11838604.0,2450000000.0,796250000.0
2017-12-06,'603022,新通联,12.38,12.45,12.08,12.29,12.36,0.02,0.1618,1.7427,1132735,13944146.0,2476000000.0,804700000.0
2017-12-05,'603022,新通联,12.36,12.86,12.25,12.73,12.74,-0.38,-2.9827,2.1005,1365350,17169074.0,2472000000.0,803400000.0
2017-12-04,'603022,新通联,12.74,13.18,12.72,12.9,13.19,-0.45,-3.4117,1.8301,1189550,15346541.0,2548000000.0,828100000.0
2017-12-01,'603022,新通联,13.19,13.27,13.08,13.27,13.34,-0.15,-1.1244,2.642,1717288,22584052.0,2638000000.0,857350000.0
2017-11-30,'603022,新通联,13.34,13.52,13.03,13.51,13.74,-0.4,-2.9112,4.5232,2940069,38970069.0,2668000000.0,867100000.0
2017-11-29,'603022,新通联,13.74,14.2,13.69,14.0,13.47,0.27,2.0045,9.728,6323181,87853617.0,2748000000.0,893100000.0
2017-11-28,'603022,新通联,13.47,13.49,12.95,13.12,13.12,0.35,2.6677,1.4377,934500,12413456.0,2694000000.0,875550000.0
2017-11-27,'603022,新通联,13.12,13.44,13.04,13.17,13.19,-0.07,-0.5307,2.0408,1326502,17598235.0,2624000000.0,852800000.0
2017-11-24,'603022,新通联,13.19,13.26,12.7,12.71,12.85,0.34,2.6459,1.7449,1134183,14694228.0,2638000000.0,857350000.0
2017-11-23,'603022,新通联,12.85,13.1,12.5,12.75,12.76,0.09,0.7053,2.6038,1692483,21684094.0,2570000000.0,835250000.0
2017-11-22,'603022,新通联,12.76,12.95,12.53,12.95,12.88,-0.12,-0.9317,1.4876,966950,12330345.0,2552000000.0,829400000.0
2017-11-21,'603022,新通联,12.88,13.33,12.72,13.24,13.25,-0.37,-2.7925,1.7756,1154150,14996327.0,2576000000.0,837200000.0
2017-11-20,'603022,新通联,13.25,13.26,12.2,13.11,13.08,0.17,1.2997,2.8024,1821553,23130276.0,2650000000.0,861250000.0
2017-11-17,'603022,新通联,13.08,14.22,13.0,14.22,14.22,-1.14,-8.0169,3.7324,2426038,32502965.0,2616000000.0,850200000.0
2017-11-16,'603022,新通联,14.22,14.36,14.17,14.31,14.31,-0.09,-0.6289,1.0076,654950,9346568.0,2844000000.0,924300000.0
2017-11-15,'603022,新通联,14.31,14.6,14.28,14.56,14.46,-0.15,-1.0373,1.2647,822087,11812739.0,2862000000.0,930150000.0
2017-11-14,'603022,新通联,14.46,14.58,14.29,14.44,14.48,-0.02,-0.1381,1.5008,975500,14073167.0,2892000000.0,939900000.0
2017-11-13,'603022,新通联,14.48,14.8,14.46,14.74,14.67,-0.19,-1.2952,1.4691,954900,13922258.0,2896000000.0,941200000.0
