日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-22,'000877,天山股份,10.27,10.47,10.21,10.22,10.19,0.08,0.7851,1.5022,13220442,136821586.63,10770384788.9,9038639929.93
2017-12-21,'000877,天山股份,10.19,10.26,10.01,10.24,10.24,-0.05,-0.4883,1.2285,10812421,109813585.47,10686486952.2,8968231829.21
2017-12-20,'000877,天山股份,10.24,10.33,10.15,10.27,10.31,-0.07,-0.679,1.2918,11369203,116094645.43,10738923100.2,9012236892.16
2017-12-19,'000877,天山股份,10.31,10.42,10.25,10.29,10.25,0.06,0.5854,1.1945,10513235,108524757.48,10812333707.3,9073843980.29
2017-12-18,'000877,天山股份,10.25,10.6,10.08,10.6,10.69,-0.44,-4.116,2.5573,22507120,232195136.16,10749410329.8,9021037904.75
2017-12-15,'000877,天山股份,10.69,11.08,10.68,11.08,11.19,-0.5,-4.4683,3.3941,29871369,323194454.88,11210848431.7,9408282458.71
2017-12-14,'000877,天山股份,11.19,11.41,10.35,10.47,10.45,0.74,7.0813,5.1995,45760565,497677542.8,11735209911.2,9848333088.21
2017-12-13,'000877,天山股份,10.45,10.68,10.4,10.64,10.66,-0.21,-1.97,1.9727,17361867,181972133.35,10959154921.5,9197058156.55
2017-12-12,'000877,天山股份,10.66,10.79,10.6,10.75,10.7,-0.04,-0.3738,1.8205,16022682,171222557.64,9381879420.94,9381879420.94
2017-12-11,'000877,天山股份,10.7,10.79,10.57,10.68,10.67,0.03,0.2812,1.5564,13697528,146366287.66,9417083471.3,9417083471.3
2017-12-08,'000877,天山股份,10.67,10.75,10.4,10.45,10.58,0.09,0.8507,1.9961,17568078,186442027.08,9390680433.53,9390680433.53
2017-12-07,'000877,天山股份,10.58,11.13,10.58,10.92,10.96,-0.38,-3.4672,2.4005,21127141,228917844.63,9311471320.22,9311471320.22
2017-12-06,'000877,天山股份,10.96,11.28,10.75,10.94,11.16,-0.2,-1.7921,2.5835,22737744,247750016.65,9645909798.64,9645909798.64
2017-12-05,'000877,天山股份,11.16,11.52,10.68,11.05,11.05,0.11,0.9955,4.8802,42950279,478592224.63,9821930050.44,9821930050.44
2017-12-04,'000877,天山股份,11.05,11.41,11.0,11.11,11.13,-0.08,-0.7188,2.58,22706440,253954592.6,9725118911.95,9725118911.95
2017-12-01,'000877,天山股份,11.13,11.25,10.9,11.1,11.07,0.06,0.542,2.8152,24776731,274393405.07,9795527012.67,9795527012.67
2017-11-30,'000877,天山股份,11.07,11.45,11.02,11.35,11.49,-0.42,-3.6554,4.8931,43063858,481211082.48,9742720937.13,9742720937.13
2017-11-29,'000877,天山股份,11.49,11.88,11.05,11.25,11.25,0.24,2.1333,8.3504,73491854,847855476.74,10112363465.9,10112363465.9
2017-11-28,'000877,天山股份,11.25,11.4,10.35,10.55,10.54,0.71,6.7362,6.0548,53288071,585836965.54,9901139163.75,9901139163.75
2017-11-27,'000877,天山股份,10.54,10.97,10.05,10.1,10.02,0.52,5.1896,3.7712,33190250,349202404.48,9276267269.86,9276267269.86
2017-11-24,'000877,天山股份,10.02,10.1,9.93,10.02,10.03,-0.01,-0.0997,0.9896,8709729,87135541.61,8818614615.18,8818614615.18
2017-11-23,'000877,天山股份,10.03,10.2,10.0,10.1,10.11,-0.08,-0.7913,1.5683,13802725,139248035.06,8827415627.77,8827415627.77
2017-11-22,'000877,天山股份,10.11,10.27,10.05,10.17,10.15,-0.04,-0.3941,1.3179,11598852,117443225.73,8897823728.49,8897823728.49
2017-11-21,'000877,天山股份,10.15,10.34,9.93,10.13,10.15,0.0,0.0,1.3869,12206219,123810850.9,8933027778.85,8933027778.85
2017-11-20,'000877,天山股份,10.15,10.34,9.63,10.34,10.39,-0.24,-2.3099,1.7614,15501783,154695035.49,8933027778.85,8933027778.85
2017-11-17,'000877,天山股份,10.39,11.05,10.12,11.01,11.07,-0.68,-6.1427,2.713,23876908,254012854.46,9144252081.01,9144252081.01
2017-11-16,'000877,天山股份,11.07,11.37,11.07,11.28,11.28,-0.21,-1.8617,1.5186,13365603,149978595.15,9742720937.13,9742720937.13
