日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-15,'600975,新五丰,5.79,5.85,5.7,5.85,5.83,-0.04,-0.6861,0.5185,2430234,14047732.0,3778991631.36,2713890259.08
2017-12-14,'600975,新五丰,5.83,5.86,5.8,5.86,5.87,-0.04,-0.6814,0.4998,2342628,13626700.0,3805098654.72,2732639069.16
2017-12-13,'600975,新五丰,5.87,5.91,5.82,5.91,5.92,-0.05,-0.8446,0.6613,3099453,18140677.0,3831205678.08,2751387879.24
2017-12-12,'600975,新五丰,5.92,5.98,5.91,5.95,5.95,-0.03,-0.5042,0.6619,3102550,18441087.0,3863839457.28,2774823891.84
2017-12-11,'600975,新五丰,5.95,5.99,5.91,5.98,5.95,0.0,0.0,0.6631,3107902,18459792.0,3883419724.8,2788885499.4
2017-12-08,'600975,新五丰,5.95,6.0,5.9,5.99,5.91,0.04,0.6768,0.8914,4178150,24838655.0,3883419724.8,2788885499.4
2017-12-07,'600975,新五丰,5.91,5.97,5.89,5.92,5.96,-0.05,-0.8389,1.0101,4734668,28020053.0,3857312701.44,2770136689.32
2017-12-06,'600975,新五丰,5.96,6.2,5.6,5.65,5.67,0.29,5.1146,2.2671,10626327,63217336.0,3889946480.64,2793572701.92
2017-12-05,'600975,新五丰,5.67,5.87,5.64,5.83,5.86,-0.19,-3.2423,0.7536,3532163,20348232.0,3700670561.28,2657643828.84
2017-12-04,'600975,新五丰,5.86,5.89,5.82,5.83,5.82,0.04,0.6873,0.7266,3405742,19967973.0,3824678922.24,2746700676.72
2017-12-01,'600975,新五丰,5.82,5.88,5.76,5.76,5.8,0.02,0.3448,0.5713,2677998,15611564.0,3798571898.88,2727951866.64
2017-11-30,'600975,新五丰,5.8,5.88,5.74,5.78,5.8,0.0,0.0,0.5736,2688800,15629882.0,3785518387.2,2718577461.6
2017-11-29,'600975,新五丰,5.8,5.85,5.71,5.77,5.82,-0.02,-0.3436,0.6403,3001142,17274609.0,3785518387.2,2718577461.6
2017-11-28,'600975,新五丰,5.82,5.83,5.74,5.76,5.81,0.01,0.1721,0.4748,2225297,12884314.0,3798571898.88,2727951866.64
2017-11-27,'600975,新五丰,5.81,5.9,5.8,5.88,5.9,-0.09,-1.5254,0.4935,2313300,13514899.0,3792045143.04,2723264664.12
2017-11-24,'600975,新五丰,5.9,5.99,5.83,5.83,5.94,-0.04,-0.6734,0.6137,2876756,16971291.0,3850785945.6,2765449486.8
2017-11-23,'600975,新五丰,5.94,6.11,5.9,6.09,6.12,-0.18,-2.9412,0.9948,4662914,27964007.0,3876892968.96,2784198296.88
2017-11-22,'600975,新五丰,6.12,6.23,6.02,6.23,6.23,-0.11,-1.7657,1.1045,5177071,31674965.0,3994374574.08,2868567942.24
2017-11-21,'600975,新五丰,6.23,6.25,5.96,5.99,5.99,0.24,4.0067,1.8515,8678300,53384624.0,4066168888.32,2920127169.96
2017-11-20,'600975,新五丰,5.99,6.08,5.6,6.08,6.03,-0.04,-0.6633,0.9925,4652024,27235936.0,3909526748.16,2807634309.48
2017-11-17,'600975,新五丰,6.03,6.14,6.0,6.06,6.05,-0.02,-0.3306,1.5845,7426881,45198192.0,3935633771.52,2826383119.56
2017-11-16,'600975,新五丰,6.05,6.11,5.91,5.93,5.94,0.11,1.8519,1.2661,5934580,35823686.0,3948687283.2,2835757524.6
2017-11-15,'600975,新五丰,5.94,6.02,5.91,6.02,5.99,-0.05,-0.8347,0.6578,3083153,18324439.0,3876892968.96,2784198296.88
2017-11-14,'600975,新五丰,5.99,6.14,5.98,6.06,6.1,-0.11,-1.8033,1.3078,6130003,36943777.0,3909526748.16,2807634309.48
2017-11-13,'600975,新五丰,6.1,6.28,6.08,6.23,6.2,-0.1,-1.6129,1.1243,5269954,32466605.0,3981321062.4,2859193537.2
2017-11-10,'600975,新五丰,6.2,6.28,6.18,6.24,6.25,-0.05,-0.8,0.8873,4158917,25888281.0,4046588620.8,2906065562.4
2017-11-09,'600975,新五丰,6.25,6.29,6.2,6.2,6.24,0.01,0.1603,0.823,3857504,24072846.0,4079222400.0,2929501575.0
2017-11-08,'600975,新五丰,6.24,6.34,6.16,6.16,6.28,-0.04,-0.6369,1.1267,5280854,33085822.0,4072695644.16,2924814372.48
2017-11-07,'600975,新五丰,6.28,6.39,6.24,6.34,6.42,-0.14,-2.1807,1.7277,8097936,50870377.0,4098802667.52,2943563182.56
2017-11-06,'600975,新五丰,6.42,6.57,6.29,6.54,6.54,-0.12,-1.8349,1.5789,7400854,47216328.0,4190177249.28,3009184017.84
2017-11-03,'600975,新五丰,6.54,6.7,6.52,6.7,6.72,-0.18,-2.6786,1.6555,7759798,51037655.0,4268498319.36,3065430448.08
2017-11-02,'600975,新五丰,6.72,6.87,6.62,6.86,6.97,-0.25,-3.5868,2.413,11310235,76085358.0,4385979924.48,3149800093.44
2017-11-01,'600975,新五丰,6.97,7.08,6.61,6.61,6.56,0.41,6.25,4.6661,21870799,151444870.0,4549148820.48,3266980156.44
2017-10-31,'600975,新五丰,6.56,6.74,6.43,6.65,6.72,-0.16,-2.381,2.4552,11507849,75220448.0,4281551831.04,3074804853.12
2017-10-30,'600975,新五丰,6.72,7.01,6.56,6.91,6.88,-0.16,-2.3256,2.788,13067869,87684903.0,4385979924.48,3149800093.44
2017-10-27,'600975,新五丰,6.88,7.45,6.85,7.17,7.18,-0.3,-4.1783,5.9342,27814637,198210126.0,4490408017.92,3224795333.76
2017-10-26,'600975,新五丰,7.18,7.18,6.9,7.18,6.53,0.65,9.9541,1.4456,6775837,48462069.0,4686210693.12,3365411409.36
2017-10-25,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-24,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-23,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-20,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-19,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-18,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-17,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-16,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-13,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-12,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-11,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-10,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-10-09,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-29,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-28,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-27,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-26,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-25,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-22,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-21,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-20,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-19,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-18,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-15,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-14,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-13,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-12,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
2017-09-11,'600975,新五丰,0.0,0.0,0.0,0.0,6.53,None,None,0.0,0,0.0,4261971563.52,3060743245.56
