日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-15,'002145,中核钛白,6.32,6.66,6.11,6.18,6.16,0.16,2.5974,4.038,54843269,348876302.79,10060312360.3,8583641863.92
2017-12-14,'002145,中核钛白,6.16,6.16,5.95,5.99,5.97,0.19,3.1826,2.1032,28565341,173386587.91,9805620908.16,8366334474.96
2017-12-13,'002145,中核钛白,5.97,6.04,5.93,5.94,5.94,0.03,0.5051,0.5805,7884409,47153364.86,9503174808.72,8108281950.57
2017-12-12,'002145,中核钛白,5.94,6.03,5.94,6.01,5.98,-0.04,-0.6689,0.9186,12476087,74604252.92,9455420161.44,8067536815.14
2017-12-11,'002145,中核钛白,5.98,6.02,5.87,5.9,5.89,0.09,1.528,1.126,15292498,91427804.06,9519093024.48,8121863662.38
2017-12-08,'002145,中核钛白,5.89,5.96,5.79,5.8,5.83,0.06,1.0292,0.7531,10227777,60019961.15,9375829082.64,7999628256.09
2017-12-07,'002145,中核钛白,5.83,5.88,5.81,5.87,5.88,-0.05,-0.8503,0.4686,6364203,37158719.46,9280319788.08,7918137985.23
2017-12-06,'002145,中核钛白,5.88,5.9,5.76,5.8,5.85,0.03,0.5128,0.6146,8347849,48698420.3,9359910866.88,7986046544.28
2017-12-05,'002145,中核钛白,5.85,6.01,5.74,5.95,5.94,-0.09,-1.5152,1.2482,16952473,99746625.45,9312156219.6,7945301408.85
2017-12-04,'002145,中核钛白,5.94,6.09,5.93,5.99,5.94,0.0,0.0,1.3609,18483494,110905865.88,9455420161.44,8067536815.14
2017-12-01,'002145,中核钛白,5.94,5.96,5.83,5.83,5.82,0.12,2.0619,1.2361,16788394,99211624.51,9455420161.44,8067536815.14
2017-11-30,'002145,中核钛白,5.82,5.89,5.78,5.82,5.85,-0.03,-0.5128,0.8018,10889600,63580285.0,9264401572.32,7904556273.42
2017-11-29,'002145,中核钛白,5.85,5.88,5.74,5.75,5.77,0.08,1.3865,1.19,16162362,93954623.53,9312156219.6,7945301408.85
2017-11-28,'002145,中核钛白,5.77,5.79,5.69,5.75,5.67,0.1,1.7637,0.8972,12185628,70073724.34,9184810493.52,7836647714.37
2017-11-27,'002145,中核钛白,5.67,5.76,5.67,5.75,5.78,-0.11,-1.9031,0.5644,7666000,43714795.03,9025628335.92,7700830596.27
2017-11-24,'002145,中核钛白,5.78,5.78,5.66,5.74,5.77,0.01,0.1733,0.9694,13166408,75087860.44,9200728709.28,7850229426.18
2017-11-23,'002145,中核钛白,5.77,5.84,5.76,5.84,5.87,-0.1,-1.7036,0.6593,8954368,51973224.72,9184810493.52,7836647714.37
2017-11-22,'002145,中核钛白,5.87,5.88,5.8,5.87,5.88,-0.01,-0.1701,0.8502,11547409,67432536.0,9343992651.12,7972464832.47
2017-11-21,'002145,中核钛白,5.88,5.91,5.79,5.91,5.9,-0.02,-0.339,0.8498,11541606,67496113.98,9359910866.88,7986046544.28
2017-11-20,'002145,中核钛白,5.9,5.91,5.7,5.81,5.86,0.04,0.6826,0.9971,13542277,78240703.82,9391747298.4,8013209967.9
2017-11-17,'002145,中核钛白,5.86,5.95,5.66,5.95,5.98,-0.12,-2.0067,1.7336,23544900,136297727.4,9328074435.36,7958883120.66
2017-11-16,'002145,中核钛白,5.98,6.0,5.92,5.97,5.96,0.02,0.3356,0.7237,9829628,58592379.63,9519093024.48,8121863662.38
2017-11-15,'002145,中核钛白,5.96,6.01,5.95,5.96,5.99,-0.03,-0.5008,0.6298,8553368,51052117.72,9487256592.96,8094700238.76
2017-11-14,'002145,中核钛白,5.99,6.03,5.95,6.03,6.03,-0.04,-0.6633,1.0491,14248495,85382788.17,9535011240.24,8135445374.19
2017-11-13,'002145,中核钛白,6.03,6.09,5.98,6.09,6.09,-0.06,-0.9852,1.0745,14594074,88068570.41,9598684103.28,8189772221.43
2017-11-10,'002145,中核钛白,6.09,6.12,6.03,6.08,6.09,0.0,0.0,0.9203,12499629,75871529.54,9694193397.84,8271262492.29
2017-11-09,'002145,中核钛白,6.09,6.11,6.05,6.11,6.08,0.01,0.1645,0.9073,12322202,74853030.99,9694193397.84,8271262492.29
2017-11-08,'002145,中核钛白,6.08,6.14,6.06,6.11,6.1,-0.02,-0.3279,1.0059,13662100,83364001.97,9678275182.08,8257680780.48
2017-11-07,'002145,中核钛白,6.1,6.11,6.02,6.07,6.02,0.08,1.3289,1.0105,13724883,83184597.78,9710111613.6,8284844204.1
2017-11-06,'002145,中核钛白,6.02,6.03,5.92,6.03,5.99,0.03,0.5008,1.0913,14821112,88489572.91,9582765887.52,8176190509.62
2017-11-03,'002145,中核钛白,5.99,6.08,5.98,6.04,6.05,-0.06,-0.9917,1.1448,15548380,93563533.28,9535011240.24,8135445374.19
2017-11-02,'002145,中核钛白,6.05,6.16,6.01,6.16,6.16,-0.11,-1.7857,1.2662,17197514,104543876.84,9630520534.8,8216935645.05
2017-11-01,'002145,中核钛白,6.16,6.23,6.15,6.2,6.19,-0.03,-0.4847,0.8259,11216495,69219203.21,9805620908.16,8366334474.96
2017-10-31,'002145,中核钛白,6.19,6.24,6.13,6.18,6.18,0.01,0.1618,0.7262,9863147,61061664.73,9853375555.44,8407079610.39
2017-10-30,'002145,中核钛白,6.18,6.32,6.13,6.3,6.25,-0.07,-1.12,1.4991,20360959,126532168.62,9837457339.68,8393497898.58
2017-10-27,'002145,中核钛白,6.25,6.36,6.21,6.21,6.32,-0.07,-1.1076,0.9961,13528600,85068751.51,9948884850.0,8488569881.25
2017-10-26,'002145,中核钛白,6.32,6.35,6.27,6.29,6.32,0.0,0.0,1.1612,15771597,99593529.2,10060312360.3,8583641863.92
2017-10-25,'002145,中核钛白,6.32,6.38,6.27,6.34,6.37,-0.05,-0.7849,1.6369,22231965,140322652.01,10060312360.3,8583641863.92
2017-10-24,'002145,中核钛白,6.37,6.46,6.31,6.35,6.27,0.1,1.5949,2.9703,40342188,258306897.24,10139903439.1,8651550422.97
