ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-01-17,'002572,Ë÷·ÆÑÇ,38.53,39.19,38.0,39.0,39.0,-0.47,-1.2051,0.441,4072148,156695391.64,35579615724.3,35579615724.3
2018-01-16,'002572,Ë÷·ÆÑÇ,39.0,39.0,37.73,37.85,38.02,0.98,2.5776,0.651,6011432,231419962.77,36013626090.0,36013626090.0
2018-01-15,'002572,Ë÷·ÆÑÇ,38.02,39.18,37.9,37.9,38.04,-0.02,-0.0526,0.5808,5363555,206356113.07,35108668306.2,35108668306.2
2018-01-12,'002572,Ë÷·ÆÑÇ,38.04,38.44,37.7,38.21,38.46,-0.42,-1.092,0.4703,4343205,165110302.95,35127136832.4,35127136832.4
2018-01-11,'002572,Ë÷·ÆÑÇ,38.46,38.7,37.86,38.14,38.21,0.25,0.6543,0.5044,4658082,178564562.74,35514975882.6,35514975882.6
2018-01-10,'002572,Ë÷·ÆÑÇ,38.21,38.9,38.08,38.9,39.05,-0.84,-2.1511,0.48,4432874,169421716.22,35284119305.1,35284119305.1
2018-01-09,'002572,Ë÷·ÆÑÇ,39.05,39.47,38.25,39.3,39.35,-0.3,-0.7624,0.6181,5707700,220935348.4,36059797405.5,36059797405.5
2018-01-08,'002572,Ë÷·ÆÑÇ,39.35,39.79,38.63,38.89,38.9,0.45,1.1568,0.8048,7432009,293152068.09,36336825298.5,36336825298.5
2018-01-05,'002572,Ë÷·ÆÑÇ,38.9,38.92,38.39,38.53,38.58,0.32,0.8294,0.5988,5529139,213785725.48,35921283459.0,35921283459.0
2018-01-04,'002572,Ë÷·ÆÑÇ,38.58,39.1,38.25,38.8,38.88,-0.3,-0.7716,0.8065,7447245,287443977.26,35625787039.8,35625787039.8
2018-01-03,'002572,Ë÷·ÆÑÇ,38.88,39.3,38.0,38.3,37.84,1.04,2.7484,1.3211,12199344,475877795.82,35902814932.8,35902814932.8
2018-01-02,'002572,Ë÷·ÆÑÇ,37.84,38.18,36.4,36.77,36.8,1.04,2.8261,1.7924,16551065,623887592.51,34942451570.4,34942451570.4
2017-12-29,'002572,Ë÷·ÆÑÇ,36.8,36.88,36.15,36.5,36.59,0.21,0.5739,0.7364,6800264,247998530.16,33982088208.0,33982088208.0
2017-12-28,'002572,Ë÷·ÆÑÇ,36.59,36.62,35.2,36.1,36.05,0.54,1.4979,0.8899,8217299,295947710.32,33788168682.9,33788168682.9
2017-12-27,'002572,Ë÷·ÆÑÇ,36.05,36.3,35.68,35.93,35.78,0.27,0.7546,0.7383,6817813,245603782.04,33289518475.5,33289518475.5
2017-12-26,'002572,Ë÷·ÆÑÇ,35.78,36.3,35.6,36.3,36.1,-0.32,-0.8864,0.6073,5608014,201428405.68,33040193371.8,33040193371.8
2017-12-25,'002572,Ë÷·ÆÑÇ,36.1,37.47,36.0,36.99,36.79,-0.69,-1.8755,0.7549,6971051,254750870.65,33335689791.0,33335689791.0
2017-12-22,'002572,Ë÷·ÆÑÇ,36.79,37.36,36.4,37.2,37.05,-0.26,-0.7018,0.4546,4198315,154094624.15,33972853944.9,33972853944.9
2017-12-21,'002572,Ë÷·ÆÑÇ,37.05,37.56,36.27,37.26,37.08,-0.03,-0.0809,0.7909,7303814,270202768.57,34212944785.5,34212944785.5
2017-12-20,'002572,Ë÷·ÆÑÇ,37.08,37.39,36.59,36.59,36.6,0.48,1.3115,0.9572,8838679,327806712.21,34240647574.8,34240647574.8
2017-12-19,'002572,Ë÷·ÆÑÇ,36.6,36.65,35.5,35.68,35.7,0.9,2.521,1.2514,11555442,418988494.13,33797402946.0,33797402946.0
2017-12-18,'002572,Ë÷·ÆÑÇ,35.7,35.86,34.18,34.25,34.24,1.46,4.264,0.8741,8071782,283519179.8,32966319267.0,32966319267.0
2017-12-15,'002572,Ë÷·ÆÑÇ,34.24,34.83,34.09,34.26,34.25,-0.01,-0.0292,0.8745,8075631,278655612.68,31618116854.4,31618116854.4
2017-12-14,'002572,Ë÷·ÆÑÇ,34.25,35.31,34.18,35.04,35.1,-0.85,-2.4217,0.7249,6694092,231143018.96,31627351117.5,31627351117.5
2017-12-13,'002572,Ë÷·ÆÑÇ,35.1,35.66,34.87,35.59,35.59,-0.49,-1.3768,0.7682,7094047,249751722.37,32412263481.0,32412263481.0
2017-12-12,'002572,Ë÷·ÆÑÇ,35.59,35.95,35.46,35.64,35.5,0.09,0.2535,0.4678,4319329,153982561.6,32864742372.9,32864742372.9
2017-12-11,'002572,Ë÷·ÆÑÇ,35.5,36.07,35.35,35.95,36.0,-0.5,-1.3889,0.7405,6838422,243751006.41,32781634005.0,32781634005.0
2017-12-08,'002572,Ë÷·ÆÑÇ,36.0,36.2,35.64,36.05,36.0,0.0,0.0,0.6912,6382506,229044112.27,33243347160.0,33243347160.0
2017-12-07,'002572,Ë÷·ÆÑÇ,36.0,36.27,35.6,35.99,35.93,0.07,0.1948,0.4549,4200446,150564333.61,33243347160.0,33243347160.0
2017-12-06,'002572,Ë÷·ÆÑÇ,35.93,36.2,35.65,35.84,35.84,0.09,0.2511,0.3125,2885385,103554917.1,33178707318.3,33178707318.3
2017-12-05,'002572,Ë÷·ÆÑÇ,35.84,36.33,35.51,36.04,36.04,-0.2,-0.5549,0.6131,5661907,203056792.22,33095598950.4,33095598950.4
2017-12-04,'002572,Ë÷·ÆÑÇ,36.04,36.86,36.0,36.66,36.86,-0.82,-2.2246,0.6564,6061544,219555930.85,33280284212.4,33280284212.4
2017-12-01,'002572,Ë÷·ÆÑÇ,36.86,37.59,36.67,37.15,37.08,-0.22,-0.5933,0.5513,5090554,188523887.97,34037493786.6,34037493786.6
2017-11-30,'002572,Ë÷·ÆÑÇ,37.08,37.68,37.05,37.48,37.33,-0.25,-0.6697,0.4821,4451675,166742007.13,34240647574.8,34240647574.8
2017-11-29,'002572,Ë÷·ÆÑÇ,37.33,37.7,36.9,37.0,36.73,0.6,1.6335,0.6758,6240475,232748606.5,34471504152.3,34471504152.3
