日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-21,'002862,实丰文化,27.77,28.3,27.18,27.5,27.86,-0.09,-0.323,1.5635,312700,8695497.53,2221600000.0,555400000.0
2017-12-20,'002862,实丰文化,27.86,28.23,27.86,28.16,28.27,-0.41,-1.4503,0.652,130400,3647954.0,2228800000.0,557200000.0
2017-12-19,'002862,实丰文化,28.27,28.27,27.82,27.82,28.03,0.24,0.8562,1.135,227000,6392307.0,2261600000.0,565400000.0
2017-12-18,'002862,实丰文化,28.03,28.93,28.0,28.93,28.5,-0.47,-1.6491,1.035,207000,5840767.0,2242400000.0,560600000.0
2017-12-15,'002862,实丰文化,28.5,28.69,28.17,28.52,28.53,-0.03,-0.1052,1.157,231400,6581778.0,2280000000.0,570000000.0
2017-12-14,'002862,实丰文化,28.53,28.75,28.21,28.47,28.48,0.05,0.1756,1.1125,222500,6335847.0,2282400000.0,570600000.0
2017-12-13,'002862,实丰文化,28.48,28.65,27.74,28.15,28.2,0.28,0.9929,1.3795,275900,7776151.0,2278400000.0,569600000.0
2017-12-12,'002862,实丰文化,28.2,29.25,28.2,28.99,28.99,-0.79,-2.7251,1.0785,215700,6171499.0,2256000000.0,564000000.0
2017-12-11,'002862,实丰文化,28.99,29.13,28.35,28.6,28.7,0.29,1.0105,1.273,254600,7333689.0,2319200000.0,579800000.0
2017-12-08,'002862,实丰文化,28.7,28.85,28.14,28.28,28.29,0.41,1.4493,2.0177,403536,11532873.72,2296000000.0,574000000.0
2017-12-07,'002862,实丰文化,28.29,28.95,28.08,28.37,28.54,-0.25,-0.876,3.1452,629036,17872807.88,2263200000.0,565800000.0
2017-12-06,'002862,实丰文化,28.54,28.94,27.71,28.7,29.0,-0.46,-1.5862,2.427,485400,13748152.0,2283200000.0,570800000.0
2017-12-05,'002862,实丰文化,29.0,29.98,28.6,29.43,29.76,-0.76,-2.5538,2.7515,550300,15882029.0,2320000000.0,580000000.0
2017-12-04,'002862,实丰文化,29.76,30.57,29.18,30.28,30.7,-0.94,-3.0619,2.186,437200,12977656.0,2380800000.0,595200000.0
2017-12-01,'002862,实丰文化,30.7,30.95,30.35,30.69,30.91,-0.21,-0.6794,1.452,290400,8906615.0,2456000000.0,614000000.0
2017-11-30,'002862,实丰文化,30.91,31.0,30.06,30.06,30.45,0.46,1.5107,1.748,349600,10645715.0,2472800000.0,618200000.0
2017-11-29,'002862,实丰文化,30.45,30.53,29.6,30.31,30.56,-0.11,-0.3599,1.6535,330700,9962997.0,2436000000.0,609000000.0
2017-11-28,'002862,实丰文化,30.56,30.65,30.09,30.3,30.8,-0.24,-0.7792,0.9965,199300,6072119.0,2444800000.0,611200000.0
2017-11-27,'002862,实丰文化,30.8,31.0,29.51,30.38,31.0,-0.2,-0.6452,1.418,283600,8545516.0,2464000000.0,616000000.0
2017-11-24,'002862,实丰文化,31.0,31.0,28.56,29.02,29.51,1.49,5.0491,2.1045,420900,12457787.0,2480000000.0,620000000.0
2017-11-23,'002862,实丰文化,29.51,30.87,29.51,30.65,30.65,-1.14,-3.7194,2.3231,464611,14081575.28,2360800000.0,590200000.0
2017-11-22,'002862,实丰文化,30.65,30.99,30.19,30.25,30.46,0.19,0.6238,2.3111,462223,14171252.48,2452000000.0,613000000.0
2017-11-21,'002862,实丰文化,30.46,31.2,30.1,30.8,31.1,-0.64,-2.0579,4.1601,832025,25412416.44,2436800000.0,609200000.0
2017-11-20,'002862,实丰文化,31.1,32.26,30.0,32.0,32.27,-1.17,-3.6257,3.87,774000,24224172.0,2488000000.0,622000000.0
2017-11-17,'002862,实丰文化,32.27,34.01,32.0,33.96,34.4,-2.13,-6.1919,6.877,1375397,45324043.92,2581600000.0,645400000.0
2017-11-16,'002862,实丰文化,34.4,37.0,34.01,36.5,36.24,-1.84,-5.0773,9.0875,1817493,65307104.16,2752000000.0,688000000.0
2017-11-15,'002862,实丰文化,36.24,37.2,34.53,34.87,34.93,1.31,3.7504,9.7685,1953708,70611782.33,2899200000.0,724800000.0
2017-11-14,'002862,实丰文化,34.93,34.98,34.08,34.13,34.44,0.49,1.4228,3.3501,670017,23137071.75,2794400000.0,698600000.0
2017-11-13,'002862,实丰文化,34.44,34.69,33.89,34.17,34.16,0.28,0.8197,3.0834,616684,21116580.68,2755200000.0,688800000.0
