хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-01-18,'000502,бл╬╟©ь╧и,10.97,11.18,10.95,11.14,11.28,-0.31,-2.7482,0.8342,1529528,16874748.48,2027471088.79,2011345188.79
2018-01-17,'000502,бл╬╟©ь╧и,11.28,11.57,10.93,11.02,11.15,0.13,1.1659,1.7061,3128123,35147458.21,2084765166.96,2068183566.96
2018-01-16,'000502,бл╬╟©ь╧и,11.15,11.23,10.92,11.0,11.13,0.02,0.1797,0.4709,863310,9570462.0,2060738618.05,2044348118.05
2018-01-15,'000502,бл╬╟©ь╧и,11.13,11.52,10.72,11.39,11.53,-0.4,-3.4692,0.8,1466810,16346796.5,2057042225.91,2040681125.91
2018-01-12,'000502,бл╬╟©ь╧и,11.53,11.84,11.08,11.19,11.19,0.34,3.0384,1.2963,2376845,27320956.96,2130970068.71,2114020968.71
2018-01-11,'000502,бл╬╟©ь╧и,11.19,11.27,10.88,11.19,11.12,0.07,0.6295,0.5992,1098600,12244940.0,2068131402.33,2051682102.33
2018-01-10,'000502,бл╬╟©ь╧и,11.12,11.31,10.92,11.31,11.31,-0.19,-1.6799,0.56,1026683,11403281.73,2055194029.84,2038847629.84
2018-01-09,'000502,бл╬╟©ь╧и,11.31,11.42,11.11,11.31,11.39,-0.08,-0.7024,0.4292,786892,8874607.57,2090309755.17,2073684055.17
2018-01-08,'000502,бл╬╟©ь╧и,11.39,11.46,11.16,11.35,11.34,0.05,0.4409,0.7201,1320375,14981597.16,2105095323.73,2088352023.73
2018-01-05,'000502,бл╬╟©ь╧и,11.34,11.38,10.92,11.06,11.08,0.26,2.3466,0.8961,1642942,18443669.05,2095854343.38,2079184543.38
2018-01-04,'000502,бл╬╟©ь╧и,11.08,11.15,10.92,11.11,11.13,-0.05,-0.4492,0.3691,676800,7482727.4,2047801245.56,2031513645.56
2018-01-03,'000502,бл╬╟©ь╧и,11.13,11.16,10.86,10.98,10.91,0.22,2.0165,0.7867,1442334,15879395.63,2057042225.91,2040681125.91
2018-01-02,'000502,бл╬╟©ь╧и,10.91,11.1,10.85,10.85,11.03,-0.12,-1.0879,0.5639,1033914,11351224.79,2016381912.37,2000344212.37
2017-12-29,'000502,бл╬╟©ь╧и,11.03,11.05,10.89,10.96,10.96,0.07,0.6387,0.4357,798900,8751797.0,2038560265.21,2022346165.21
2017-12-28,'000502,бл╬╟©ь╧и,10.96,10.99,10.63,10.63,10.78,0.18,1.6698,0.8115,1487895,16229505.55,2025622892.72,2009511692.72
2017-12-27,'000502,бл╬╟©ь╧и,10.78,10.95,10.54,10.71,10.71,0.07,0.6536,0.8104,1485886,16006452.14,1992355363.46,1976508763.46
2017-12-26,'000502,бл╬╟©ь╧и,10.71,10.99,10.6,10.99,10.71,0.0,0.0,0.5478,1004425,10778882.96,1979417990.97,1963674290.97
2017-12-25,'000502,бл╬╟©ь╧и,10.71,10.86,10.25,10.38,10.47,0.24,2.2923,1.6816,3083185,32530668.34,1979417990.97,1963674290.97
2017-12-22,'000502,бл╬╟©ь╧и,10.47,10.47,10.17,10.26,10.26,0.21,2.0468,0.9502,1742163,18058918.42,1935061285.29,1919670385.29
2017-12-21,'000502,бл╬╟©ь╧и,10.26,10.28,10.01,10.06,10.15,0.11,1.0837,0.9845,1805108,18363009.59,1896249167.82,1881166967.82
