日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-22,'002397,梦洁股份,6.76,6.8,6.67,6.8,6.79,-0.03,-0.4418,0.7264,4988200,33471630.77,4642008858.76,4642008858.76
2017-12-21,'002397,梦洁股份,6.79,6.88,6.64,6.86,6.9,-0.11,-1.5942,1.1524,7913101,53191858.88,4662609489.79,4662609489.79
2017-12-20,'002397,梦洁股份,6.9,7.59,6.86,7.49,7.45,-0.55,-7.3826,2.3062,15836491,112846230.61,4738145136.9,4738145136.9
2017-12-19,'002397,梦洁股份,7.45,7.48,7.08,7.2,7.16,0.29,4.0503,3.2146,22074314,162062248.11,5115823372.45,5115823372.45
2017-12-18,'002397,梦洁股份,7.16,7.18,7.08,7.08,7.11,0.05,0.7032,0.8295,5696402,40609903.2,4916683939.16,4916683939.16
2017-12-15,'002397,梦洁股份,7.11,7.22,7.01,7.16,7.16,-0.05,-0.6983,1.053,7231100,51434423.45,4882349554.11,4882349554.11
2017-12-14,'002397,梦洁股份,7.16,7.22,6.89,6.96,6.99,0.17,2.432,1.8664,12816028,90780552.14,4916683939.16,4916683939.16
2017-12-13,'002397,梦洁股份,6.99,7.24,6.94,7.11,7.06,-0.07,-0.9915,1.324,9091460,64012436.12,4799947029.99,4799947029.99
2017-12-12,'002397,梦洁股份,7.06,7.15,6.73,6.76,6.77,0.29,4.2836,2.7157,18648267,130916309.7,4848015169.06,4848015169.06
2017-12-11,'002397,梦洁股份,6.77,6.84,6.72,6.79,6.84,-0.07,-1.0234,0.7199,4943484,33486687.54,4648875735.77,4648875735.77
2017-12-08,'002397,梦洁股份,6.84,6.99,6.67,6.78,6.82,0.02,0.2933,2.0826,14301301,97477240.05,4696943874.84,4696943874.84
2017-12-07,'002397,梦洁股份,6.82,6.85,6.37,6.5,6.5,0.32,4.9231,2.3745,16305623,109185528.4,4683210120.82,4683210120.82
2017-12-06,'002397,梦洁股份,6.5,6.55,6.05,6.11,6.11,0.39,6.383,1.9787,13587754,86901910.36,4463470056.5,4463470056.5
2017-12-05,'002397,梦洁股份,6.11,6.17,6.05,6.07,6.09,0.02,0.3284,0.4878,3349997,20495995.71,4195661853.11,4195661853.11
2017-12-04,'002397,梦洁股份,6.09,6.11,6.02,6.1,6.08,0.01,0.1645,0.1623,1114730,6758222.06,4181928099.09,4181928099.09
2017-12-01,'002397,梦洁股份,6.08,6.15,5.98,6.0,6.0,0.08,1.3333,0.4082,2803395,17067338.87,4175061222.08,4175061222.08
2017-11-30,'002397,梦洁股份,6.0,6.02,5.9,5.92,5.95,0.05,0.8403,0.2318,1591790,9490822.84,4120126206.0,4120126206.0
2017-11-29,'002397,梦洁股份,5.95,6.01,5.9,5.99,6.0,-0.05,-0.8333,0.3567,2449628,14567006.44,4085791820.95,4085791820.95
2017-11-28,'002397,梦洁股份,6.0,6.0,5.9,5.9,5.94,0.06,1.0101,0.1904,1307600,7806449.0,4120126206.0,4120126206.0
2017-11-27,'002397,梦洁股份,5.94,5.96,5.8,5.94,5.92,0.02,0.3378,0.2985,2049692,12064234.52,4078924943.94,4078924943.94
2017-11-24,'002397,梦洁股份,5.92,6.09,5.91,6.05,6.05,-0.13,-2.1488,0.633,4346975,25927893.52,4065191189.92,4065191189.92
2017-11-23,'002397,梦洁股份,6.05,6.37,6.05,6.37,6.3,-0.25,-3.9683,0.8048,5526400,33947305.23,4154460591.05,4154460591.05
2017-11-22,'002397,梦洁股份,6.3,6.55,6.29,6.54,6.5,-0.2,-3.0769,0.5075,3484700,22319287.0,4326132516.3,4326132516.3
2017-11-21,'002397,梦洁股份,6.5,6.57,6.45,6.45,6.5,0.0,0.0,0.1648,1131878,7358234.99,4463470056.5,4463470056.5
2017-11-20,'002397,梦洁股份,6.5,6.54,6.39,6.39,6.4,0.1,1.5625,0.1951,1340008,8647515.89,4463470056.5,4463470056.5
2017-11-17,'002397,梦洁股份,6.4,6.7,6.32,6.6,6.69,-0.29,-4.3348,0.4709,3233296,21175938.52,4394801286.4,4394801286.4
2017-11-16,'002397,梦洁股份,6.69,6.7,6.61,6.65,6.65,0.04,0.6015,0.2181,1497700,10006079.0,4593940719.69,4593940719.69
2017-11-15,'002397,梦洁股份,6.65,6.72,6.63,6.68,6.69,-0.04,-0.5979,0.2527,1735415,11568037.65,4566473211.65,4566473211.65
2017-11-14,'002397,梦洁股份,6.69,6.74,6.63,6.71,6.71,-0.02,-0.2981,0.3044,2090140,13973344.6,4593940719.69,4593940719.69
2017-11-13,'002397,梦洁股份,6.71,6.83,6.7,6.78,6.81,-0.1,-1.4684,0.4672,3208067,21684062.03,4607674473.71,4607674473.71
2017-11-10,'002397,梦洁股份,6.81,6.87,6.79,6.83,6.85,-0.04,-0.5839,0.4609,3164922,21576751.64,4676343243.81,4676343243.81
2017-11-09,'002397,梦洁股份,6.85,6.88,6.81,6.82,6.85,0.0,0.0,0.2388,1639501,11213357.84,4703810751.85,4703810751.85
2017-11-08,'002397,梦洁股份,6.85,6.9,6.84,6.88,6.88,-0.03,-0.436,0.3653,2508617,17218950.67,4703810751.85,4703810751.85
2017-11-07,'002397,梦洁股份,6.88,6.95,6.8,6.88,6.88,0.0,0.0,0.3563,2446519,16801731.27,4724411382.88,4724411382.88
2017-11-06,'002397,梦洁股份,6.88,6.94,6.8,6.84,6.85,0.03,0.438,0.2459,1688567,11604806.33,4724411382.88,4724411382.88
2017-11-03,'002397,梦洁股份,6.85,6.97,6.8,6.88,6.88,-0.03,-0.436,0.3718,2553220,17558582.0,4703810751.85,4703810751.85
2017-11-02,'002397,梦洁股份,6.88,7.02,6.85,7.02,7.03,-0.15,-2.1337,0.4264,2927700,20192856.98,4724411382.88,4724411382.88
2017-11-01,'002397,梦洁股份,7.03,7.2,6.94,7.06,7.1,-0.07,-0.9859,0.6844,4699357,33013118.72,4827414538.03,4827414538.03
2017-10-31,'002397,梦洁股份,7.1,7.24,7.05,7.24,7.01,0.09,1.2839,1.2085,8298293,59223756.54,4875482677.1,4875482677.1
2017-10-30,'002397,梦洁股份,7.01,7.01,6.72,6.95,6.99,0.02,0.2861,0.776,5328700,36566413.0,4813680784.01,4813680784.01
2017-10-27,'002397,梦洁股份,6.99,7.11,6.94,7.0,7.02,-0.03,-0.4274,0.4282,2937600,20594026.0,4795072001.28,4795072001.28
2017-10-26,'002397,梦洁股份,7.02,7.1,6.92,6.96,6.99,0.03,0.4292,0.6551,4493764,31586708.05,4815651709.44,4815651709.44
2017-10-25,'002397,梦洁股份,6.99,7.05,6.9,6.95,6.93,0.06,0.8658,0.3352,2299117,16051001.15,4795072001.28,4795072001.28
2017-10-24,'002397,梦洁股份,6.93,6.94,6.85,6.9,6.94,-0.01,-0.1441,0.1861,1276900,8788599.6,4753912584.96,4753912584.96
2017-10-23,'002397,梦洁股份,6.94,6.96,6.81,6.88,6.89,0.05,0.7257,0.2142,1469300,10156958.0,4760772487.68,4760772487.68
2017-10-20,'002397,梦洁股份,6.89,6.93,6.79,6.81,6.81,0.08,1.1747,0.3119,2139774,14723272.16,4726472974.08,4726472974.08
2017-10-19,'002397,梦洁股份,6.81,7.0,6.78,6.99,6.97,-0.16,-2.2956,0.6629,4547427,31192402.37,4671593752.32,4671593752.32
2017-10-18,'002397,梦洁股份,6.97,7.2,6.96,7.17,7.19,-0.22,-3.0598,0.9196,6308299,44554949.03,4781352195.84,4781352195.84
2017-10-17,'002397,梦洁股份,7.19,7.26,7.06,7.11,7.12,0.07,0.9831,0.7076,4854056,34733143.28,4932270055.68,4932270055.68
2017-10-16,'002397,梦洁股份,7.12,7.31,7.09,7.3,7.26,-0.14,-1.9284,0.8463,5805392,41528027.38,4884250736.64,4884250736.64
2017-10-13,'002397,梦洁股份,7.26,7.37,7.1,7.1,7.18,0.08,1.1142,1.5876,10890852,79353435.56,4980289374.72,4980289374.72
2017-10-12,'002397,梦洁股份,7.18,7.18,7.0,7.04,7.03,0.15,2.1337,1.5297,10493866,74824243.22,4925410152.96,4925410152.96
2017-10-11,'002397,梦洁股份,7.03,7.07,6.94,6.99,6.97,0.06,0.8608,0.6511,4466268,31382964.28,4822511612.16,4822511612.16
2017-10-10,'002397,梦洁股份,6.97,6.98,6.87,6.91,6.91,0.06,0.8683,0.4134,2835699,19645776.79,4781352195.84,4781352195.84
2017-10-09,'002397,梦洁股份,6.91,6.99,6.89,6.89,6.87,0.04,0.5822,0.468,3210521,22248052.59,4740192779.52,4740192779.52
2017-09-29,'002397,梦洁股份,6.87,6.93,6.82,6.86,6.88,-0.01,-0.1453,0.3526,2418480,16626633.6,4712753168.64,4712753168.64
2017-09-28,'002397,梦洁股份,6.88,7.03,6.74,6.79,6.79,0.09,1.3255,0.6138,4210917,29022522.42,4719613071.36,4719613071.36
2017-09-27,'002397,梦洁股份,6.79,6.81,6.72,6.72,6.75,0.04,0.5926,0.1755,1204049,8149489.09,4657873946.88,4657873946.88
2017-09-26,'002397,梦洁股份,6.75,6.75,6.65,6.65,6.7,0.05,0.7463,0.1598,1096438,7371386.05,4630434336.0,4630434336.0
2017-09-25,'002397,梦洁股份,6.7,6.89,6.7,6.85,6.85,-0.15,-2.1898,0.2983,2046179,13899521.99,4596134822.4,4596134822.4
2017-09-22,'002397,梦洁股份,6.85,6.91,6.8,6.88,6.92,-0.07,-1.0116,0.3784,2595665,17745478.37,4699033363.2,4699033363.2
2017-09-21,'002397,梦洁股份,6.92,6.99,6.9,6.96,6.96,-0.04,-0.5747,0.2701,1852896,12870353.76,4747052682.24,4747052682.24
2017-09-20,'002397,梦洁股份,6.96,6.97,6.9,6.91,6.95,0.01,0.1439,0.3525,2418146,16764678.42,4774492293.12,4774492293.12
2017-09-19,'002397,梦洁股份,6.95,7.04,6.93,7.04,6.99,-0.04,-0.5722,0.286,1962187,13709050.78,4767632390.4,4767632390.4
2017-09-18,'002397,梦洁股份,6.99,7.04,6.96,7.0,7.0,-0.01,-0.1429,0.2726,1870181,13073622.4,4795072001.28,4795072001.28
2017-09-15,'002397,梦洁股份,7.0,7.07,6.99,7.01,7.02,-0.02,-0.2849,0.3066,2103300,14771632.0,4801931904.0,4801931904.0
2017-09-14,'002397,梦洁股份,7.02,7.02,6.94,6.95,6.95,0.07,1.0072,0.5318,3648151,25488751.25,4815651709.44,4815651709.44
2017-09-13,'002397,梦洁股份,6.95,7.04,6.91,7.02,7.02,-0.07,-0.9972,0.486,3333620,23156935.85,4767632390.4,4767632390.4
2017-09-12,'002397,梦洁股份,7.02,7.05,7.0,7.05,7.05,-0.03,-0.4255,0.4111,2820379,19799393.0,4815651709.44,4815651709.44
2017-09-11,'002397,梦洁股份,7.05,7.07,7.0,7.02,7.02,0.03,0.4274,0.4292,2944006,20728377.31,4836231417.6,4836231417.6
2017-09-08,'002397,梦洁股份,7.02,7.11,7.0,7.06,7.05,-0.03,-0.4255,0.3861,2648305,18636624.66,4815651709.44,4815651709.44
2017-09-07,'002397,梦洁股份,7.05,7.18,7.04,7.15,7.16,-0.11,-1.5363,0.5041,3458300,24543903.0,4836231417.6,4836231417.6
2017-09-06,'002397,梦洁股份,7.16,7.23,7.07,7.16,7.13,0.03,0.4208,0.8421,5776423,41206749.94,4911690347.52,4911690347.52
2017-09-05,'002397,梦洁股份,7.13,7.27,7.13,7.13,7.18,-0.05,-0.6964,1.0565,7247682,52186266.15,4891110639.36,4891110639.36
2017-09-04,'002397,梦洁股份,7.18,7.18,6.99,7.02,7.06,0.12,1.6997,1.4475,9929835,70491611.04,4925410152.96,4925410152.96
2017-09-01,'002397,梦洁股份,7.06,7.07,6.97,7.03,7.03,0.03,0.4267,0.4609,3161887,22178065.0,4843091320.32,4843091320.32
2017-08-31,'002397,梦洁股份,7.03,7.08,6.97,7.08,7.06,-0.03,-0.4249,0.3754,2575412,18039645.57,4822511612.16,4822511612.16
2017-08-30,'002397,梦洁股份,7.06,7.06,6.97,7.02,7.03,0.03,0.4267,0.6224,4269268,29953157.07,4843091320.32,4843091320.32
2017-08-29,'002397,梦洁股份,7.03,7.09,6.87,6.89,6.88,0.15,2.1802,1.1456,7858676,55102756.35,4822511612.16,4822511612.16
2017-08-28,'002397,梦洁股份,6.88,6.93,6.82,6.82,6.81,0.07,1.0279,0.5247,3599441,24847094.45,4719613071.36,4719613071.36
