日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-22,'600119,长江投资,13.75,13.88,13.72,13.79,13.79,-0.04,-0.2901,0.8138,2501532,34484405.0,4226750000.0,4226750000.0
2017-12-21,'600119,长江投资,13.79,13.95,13.57,13.76,13.76,0.03,0.218,0.9337,2870249,39454962.0,4239046000.0,4239046000.0
2017-12-20,'600119,长江投资,13.76,14.05,13.72,13.98,13.92,-0.16,-1.1494,1.0567,3248346,45147783.0,4229824000.0,4229824000.0
2017-12-19,'600119,长江投资,13.92,14.09,13.74,13.84,13.77,0.15,1.0893,1.0343,3179491,44315549.0,4279008000.0,4279008000.0
2017-12-18,'600119,长江投资,13.77,14.07,13.67,13.97,14.07,-0.3,-2.1322,1.302,4002459,55267206.0,4232898000.0,4232898000.0
2017-12-15,'600119,长江投资,14.07,14.22,13.98,14.2,14.15,-0.08,-0.5654,0.9338,2870379,40366561.0,4325118000.0,4325118000.0
2017-12-14,'600119,长江投资,14.15,14.24,14.01,14.13,14.25,-0.1,-0.7018,1.2599,3873066,54592845.0,4349710000.0,4349710000.0
2017-12-13,'600119,长江投资,14.25,14.3,13.92,13.92,14.02,0.23,1.6405,1.8428,5664788,80398786.0,4380450000.0,4380450000.0
2017-12-12,'600119,长江投资,14.02,14.17,13.96,14.12,14.13,-0.11,-0.7785,1.1097,3411075,47999961.0,4309748000.0,4309748000.0
2017-12-11,'600119,长江投资,14.13,14.19,14.01,14.02,14.12,0.01,0.0708,1.1749,3611539,50947672.0,4343562000.0,4343562000.0
2017-12-08,'600119,长江投资,14.12,14.34,13.9,13.96,13.99,0.13,0.9292,1.8181,5588842,79149813.0,4340488000.0,4340488000.0
2017-12-07,'600119,长江投资,13.99,14.23,13.66,13.7,13.72,0.27,1.9679,2.1763,6690044,93670505.0,4300526000.0,4300526000.0
2017-12-06,'600119,长江投资,13.72,13.76,13.4,13.53,13.57,0.15,1.1054,1.2741,3916642,53255207.0,4217528000.0,4217528000.0
2017-12-05,'600119,长江投资,13.57,14.17,13.5,14.02,14.07,-0.5,-3.5537,1.7939,5514464,76290295.0,4171418000.0,4171418000.0
2017-12-04,'600119,长江投资,14.07,14.41,13.9,14.0,14.09,-0.02,-0.1419,1.6746,5147713,72761961.0,4325118000.0,4325118000.0
2017-12-01,'600119,长江投资,14.09,14.12,13.8,14.01,14.08,0.01,0.071,1.6474,5064244,70704907.0,4331266000.0,4331266000.0
2017-11-30,'600119,长江投资,14.08,14.27,13.7,13.76,13.78,0.3,2.1771,2.4152,7424403,104588513.0,4328192000.0,4328192000.0
2017-11-29,'600119,长江投资,13.78,13.88,13.5,13.87,13.86,-0.08,-0.5772,1.2823,3941876,53969456.0,4235972000.0,4235972000.0
2017-11-28,'600119,长江投资,13.86,13.88,13.66,13.74,13.73,0.13,0.9468,1.2822,3941574,54340478.0,4260564000.0,4260564000.0
2017-11-27,'600119,长江投资,13.73,13.9,13.49,13.62,13.61,0.12,0.8817,1.3478,4143251,56760210.0,4220602000.0,4220602000.0
2017-11-24,'600119,长江投资,13.61,13.72,13.4,13.54,13.54,0.07,0.517,1.5395,4732510,64235060.0,4183714000.0,4183714000.0
2017-11-23,'600119,长江投资,13.54,14.07,13.45,13.95,13.96,-0.42,-3.0086,2.0651,6348140,87572102.0,4162196000.0,4162196000.0
2017-11-22,'600119,长江投资,13.96,14.26,13.81,14.26,14.15,-0.19,-1.3428,2.1387,6574470,92213505.0,4291304000.0,4291304000.0
2017-11-21,'600119,长江投资,14.15,14.5,14.09,14.12,14.25,-0.1,-0.7018,2.0533,6311896,90017319.0,4349710000.0,4349710000.0
2017-11-20,'600119,长江投资,14.25,14.4,13.45,14.4,14.44,-0.19,-1.3158,2.8795,8851547,123838219.0,4380450000.0,4380450000.0
2017-11-17,'600119,长江投资,14.44,15.85,14.27,15.72,15.85,-1.41,-8.8959,6.2156,19106790,286732675.0,4438856000.0,4438856000.0
2017-11-16,'600119,长江投资,15.85,16.16,15.58,15.62,15.82,0.03,0.1896,3.3502,10298550,163609845.0,4872290000.0,4872290000.0
