日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-21,'002613,北玻股份,3.62,3.63,3.56,3.62,3.61,0.01,0.277,0.1581,1293402,4654281.74,3392555400.0,2961500388.6
2017-12-20,'002613,北玻股份,3.61,3.66,3.6,3.66,3.66,-0.05,-1.3661,0.2958,2419596,8758571.74,3383183700.0,2953319448.3
2017-12-19,'002613,北玻股份,3.66,3.71,3.65,3.66,3.66,0.0,0.0,0.2385,1951150,7182791.4,3430042200.0,2994224149.8
2017-12-18,'002613,北玻股份,3.66,3.74,3.62,3.67,3.7,-0.04,-1.0811,0.3832,3135070,11500333.3,3430042200.0,2994224149.8
2017-12-15,'002613,北玻股份,3.7,3.87,3.7,3.79,3.61,0.09,2.4931,0.8358,6837968,25624877.23,3467529000.0,3026947911.0
2017-12-14,'002613,北玻股份,3.61,3.63,3.59,3.62,3.62,-0.01,-0.2762,0.1577,1290363,4657889.53,3383183700.0,2953319448.3
2017-12-13,'002613,北玻股份,3.62,3.62,3.55,3.55,3.59,0.03,0.8357,0.1767,1445345,5193285.2,3392555400.0,2961500388.6
2017-12-12,'002613,北玻股份,3.59,3.66,3.55,3.64,3.65,-0.06,-1.6438,0.1729,1414481,5116086.24,3364440300.0,2936957567.7
2017-12-11,'002613,北玻股份,3.65,3.67,3.61,3.64,3.63,0.02,0.551,0.1579,1291473,4704303.72,3420670500.0,2986043209.5
2017-12-08,'002613,北玻股份,3.63,3.65,3.58,3.58,3.6,0.03,0.8333,0.1879,1537240,5580124.2,3401927100.0,2969681328.9
2017-12-07,'002613,北玻股份,3.6,3.6,3.55,3.58,3.57,0.03,0.8403,0.2441,1996670,7153310.7,3373812000.0,2945138508.0
2017-12-06,'002613,北玻股份,3.57,3.6,3.5,3.6,3.57,0.0,0.0,0.3344,2735724,9663300.19,3345696900.0,2920595687.1
2017-12-05,'002613,北玻股份,3.57,3.72,3.56,3.72,3.72,-0.15,-4.0323,0.375,3068220,11129098.2,3345696900.0,2920595687.1
2017-12-04,'002613,北玻股份,3.72,3.82,3.69,3.79,3.79,-0.07,-1.847,0.2932,2398350,8980724.1,3486272400.0,3043309791.6
2017-12-01,'002613,北玻股份,3.79,3.81,3.75,3.76,3.76,0.03,0.7979,0.3255,2662673,10084583.61,3551874300.0,3100576373.7
2017-11-30,'002613,北玻股份,3.76,3.81,3.72,3.74,3.75,0.01,0.2667,0.5917,4840270,18315002.9,3523759200.0,3076033552.8
2017-11-29,'002613,北玻股份,3.75,3.8,3.68,3.68,3.68,0.07,1.9022,0.8559,7002200,26277621.19,3514387500.0,3067852612.5
2017-11-28,'002613,北玻股份,3.68,3.68,3.6,3.61,3.61,0.07,1.9391,0.2522,2063485,7513048.78,3448785600.0,3010586030.4
2017-11-27,'002613,北玻股份,3.61,3.76,3.61,3.66,3.71,-0.1,-2.6954,0.4302,3519800,12944931.6,3383183700.0,2953319448.3
2017-11-24,'002613,北玻股份,3.71,3.9,3.7,3.73,3.6,0.11,3.0556,0.7842,6415644,24095006.23,3476900700.0,3035128851.3
2017-11-23,'002613,北玻股份,3.6,3.7,3.6,3.69,3.7,-0.1,-2.7027,0.2175,1778990,6478929.6,3373812000.0,2945138508.0
2017-11-22,'002613,北玻股份,3.7,3.72,3.66,3.69,3.69,0.01,0.271,0.2459,2011291,7436576.3,3467529000.0,3026947911.0
2017-11-21,'002613,北玻股份,3.69,3.76,3.67,3.71,3.73,-0.04,-1.0724,0.3359,2748242,10193999.91,3458157300.0,3018766970.7
2017-11-20,'002613,北玻股份,3.73,3.75,3.6,3.75,3.76,-0.03,-0.7979,0.2718,2223610,8164389.77,3495644100.0,3051490731.9
2017-11-17,'002613,北玻股份,3.76,3.95,3.74,3.91,3.93,-0.17,-4.3257,0.4628,3785969,14473193.75,3523759200.0,3076033552.8
2017-11-16,'002613,北玻股份,3.93,3.97,3.92,3.96,3.96,-0.03,-0.7576,0.2067,1690814,6665557.68,3683078100.0,3215109537.9
2017-11-15,'002613,北玻股份,3.96,3.98,3.92,3.96,3.97,-0.01,-0.2519,0.1788,1462508,5778150.48,3711193200.0,3239652358.8
2017-11-14,'002613,北玻股份,3.97,4.04,3.95,4.03,4.05,-0.08,-1.9753,0.3408,2788288,11124229.98,3720564900.0,3247833299.1
2017-11-13,'002613,北玻股份,4.05,4.09,3.98,4.0,4.02,0.03,0.7463,0.3764,3079195,12456505.65,3795538500.0,3313280821.5
