хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-01-05,'002745,д╬ажи╜,48.1,49.49,46.5,46.5,45.5,2.6,5.7143,1.9694,3196862,153097108.78,25412572855.8,7807963235.8
2018-01-04,'002745,д╬ажи╜,0.0,0.0,0.0,0.0,45.5,None,None,0.0,0,0.0,24038920269.0,7385911169.0
2018-01-03,'002745,д╬ажи╜,0.0,0.0,0.0,0.0,45.5,None,None,0.0,0,0.0,24038920269.0,7385911169.0
2018-01-02,'002745,д╬ажи╜,0.0,0.0,0.0,0.0,45.5,None,None,0.0,0,0.0,24038920269.0,7385911169.0
2017-12-29,'002745,д╬ажи╜,0.0,0.0,0.0,0.0,45.5,None,None,0.0,0,0.0,24038920269.0,7385911169.0
2017-12-28,'002745,д╬ажи╜,0.0,0.0,0.0,0.0,45.5,None,None,0.0,0,0.0,24038920269.0,7385911169.0
2017-12-27,'002745,д╬ажи╜,45.5,46.28,45.4,45.99,45.84,-0.34,-0.7417,0.659,1069753,49064188.64,24038920269.0,7385911169.0
2017-12-26,'002745,д╬ажи╜,45.84,46.1,45.32,45.85,45.78,0.06,0.1311,0.4524,734307,33634509.88,24218551761.1,7441102593.12
2017-12-25,'002745,д╬ажи╜,45.78,46.24,45.5,46.14,45.76,0.02,0.0437,0.4803,779694,35818024.78,24186852086.0,7431362930.04
2017-12-22,'002745,д╬ажи╜,45.76,46.68,45.45,46.01,46.3,-0.54,-1.1663,0.543,881448,40522393.16,24176285527.7,7428116375.68
2017-12-21,'002745,д╬ажи╜,46.3,47.05,45.25,46.2,46.31,-0.01,-0.0216,1.6447,2669793,123170859.21,24461582603.4,7515773343.4
2017-12-20,'002745,д╬ажи╜,46.31,47.3,46.3,47.3,47.31,-1.0,-2.1137,0.4932,800575,37460731.2,24466865882.6,7517396620.58
2017-12-19,'002745,д╬ажи╜,47.31,47.96,46.5,46.5,46.89,0.42,0.8957,1.5988,2595375,122845891.87,24995193800.6,7679724338.58
2017-12-18,'002745,д╬ажи╜,46.89,47.57,46.41,46.81,47.09,-0.2,-0.4247,0.6429,1043618,49167631.89,24773296075.0,7611546697.02
2017-12-15,'002745,д╬ажи╜,47.09,47.31,45.64,46.8,47.1,-0.01,-0.0212,0.7376,1197299,55875770.06,24878961658.6,7644012240.62
2017-12-14,'002745,д╬ажи╜,47.1,47.5,46.69,47.0,47.31,-0.21,-0.4439,0.5777,937700,44097030.0,24884244937.8,7645635517.8
2017-12-13,'002745,д╬ажи╜,47.31,47.55,46.4,46.9,47.33,-0.02,-0.0423,0.5636,914800,43074742.0,24995193800.6,7679724338.58
2017-12-12,'002745,д╬ажи╜,47.33,48.31,46.91,46.98,47.28,0.05,0.1058,2.0347,3302805,157505674.64,25005760358.9,7682970892.94
2017-12-11,'002745,д╬ажи╜,47.28,47.41,46.37,46.66,46.67,0.61,1.307,1.322,2145898,100918018.04,24979343963.0,7674854507.04
2017-12-08,'002745,д╬ажи╜,46.67,46.98,45.4,45.4,45.93,0.74,1.6111,2.0152,3271228,152000111.74,24657063933.1,7575834599.06
2017-12-07,'002745,д╬ажи╜,45.93,46.38,45.0,45.0,45.58,0.35,0.7679,2.3659,3840569,176246632.8,24266101273.7,7455712087.74
2017-12-06,'002745,д╬ажи╜,45.58,45.8,44.01,44.58,44.85,0.73,1.6276,1.6808,2728378,123359475.69,24081186502.4,7398897386.44
2017-12-05,'002745,д╬ажи╜,44.85,46.19,43.4,45.21,45.21,-0.36,-0.7963,2.0263,3289189,146828605.22,23695507122.3,7280398152.3
2017-12-04,'002745,д╬ажи╜,45.21,47.3,45.0,47.3,47.6,-2.39,-5.021,1.0251,1664011,77088179.54,23885705172.8,7338836130.78
2017-12-01,'002745,д╬ажи╜,47.6,48.34,46.82,47.1,47.35,0.25,0.528,3.07,4983382,237534467.89,25148408896.8,7726799376.8
