�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2018-01-17,'300345,綻迻陔第,6.19,6.24,6.03,6.08,6.09,0.1,1.642,1.4605,5832487,35781767.48,2731619039.77,2472038400.0
2018-01-16,'300345,綻迻陔第,6.09,6.17,6.02,6.05,6.13,-0.04,-0.6525,0.8003,3195900,19536066.0,2687489491.47,2432102400.0
2018-01-15,'300345,綻迻陔第,6.13,6.44,6.1,6.44,6.44,-0.31,-4.8137,1.8425,7358258,45857840.82,2705141310.79,2448076800.0
2018-01-12,'300345,綻迻陔第,6.44,6.5,6.39,6.48,6.47,-0.03,-0.4637,0.9931,3965900,25489990.8,2841942910.52,2571878400.0
2018-01-11,'300345,綻迻陔第,6.47,6.5,6.34,6.43,6.4,0.07,1.0938,1.2237,4887140,31377774.0,2855181775.01,2583859200.0
2018-01-10,'300345,綻迻陔第,6.4,6.64,6.37,6.62,6.61,-0.21,-3.177,1.9758,7890408,51002605.0,2824291091.2,2555904000.0
2018-01-09,'300345,綻迻陔第,6.61,6.61,6.55,6.61,6.62,-0.01,-0.1511,1.0574,4222971,27796803.76,2916963142.63,2639769600.0
2018-01-08,'300345,綻迻陔第,6.62,6.74,6.6,6.72,6.72,-0.1,-1.4881,1.3053,5212708,34574731.08,2921376097.46,2643763200.0
2018-01-05,'300345,綻迻陔第,6.72,6.83,6.69,6.69,6.74,-0.02,-0.2967,1.3805,5513200,37276763.8,2965505645.76,2683699200.0
2018-01-04,'300345,綻迻陔第,6.74,6.88,6.68,6.72,6.72,0.02,0.2976,1.8785,7502119,50931161.14,2974331555.42,2691686400.0
2018-01-03,'300345,綻迻陔第,6.72,6.74,6.65,6.74,6.72,0.0,0.0,1.3283,5304747,35544631.76,2965505645.76,2683699200.0
2018-01-02,'300345,綻迻陔第,6.72,6.73,6.61,6.67,6.64,0.08,1.2048,1.0613,4238531,28302541.6,2965505645.76,2683699200.0
2017-12-29,'300345,綻迻陔第,6.64,6.69,6.53,6.55,6.58,0.06,0.9119,0.886,3538467,23445630.92,2930202007.12,2651750400.0
2017-12-28,'300345,綻迻陔第,6.58,6.66,6.51,6.59,6.61,-0.03,-0.4539,1.4258,5694220,37502034.57,2903724278.14,2627788800.0
2017-12-27,'300345,綻迻陔第,6.61,6.76,6.6,6.73,6.77,-0.16,-2.3634,1.2624,5041469,33574041.58,2916963142.63,2639769600.0
2017-12-26,'300345,綻迻陔第,6.77,6.77,6.64,6.69,6.68,0.09,1.3473,1.3941,5567603,37405745.07,2987570419.91,2703667200.0
2017-12-25,'300345,綻迻陔第,6.68,6.69,6.54,6.6,6.66,0.02,0.3003,1.1148,4451867,29416662.61,2947853826.44,2667724800.0
2017-12-22,'300345,綻迻陔第,6.66,6.69,6.62,6.67,6.64,0.02,0.3012,0.7715,3081100,20486115.0,2939027916.78,2659737600.0
2017-12-21,'300345,綻迻陔第,6.64,6.7,6.51,6.62,6.64,0.0,0.0,1.5792,6306688,41731215.92,2930202007.12,2651750400.0
2017-12-20,'300345,綻迻陔第,6.64,6.8,6.63,6.78,6.82,-0.18,-2.6393,1.52,6070223,40611554.99,2930202007.12,2651750400.0
2017-12-19,'300345,綻迻陔第,6.82,6.9,6.75,6.76,6.74,0.08,1.1869,1.4332,5723460,39125928.6,3009635194.06,2723635200.0
2017-12-18,'300345,綻迻陔第,6.74,6.93,6.7,6.92,6.92,-0.18,-2.6012,1.6635,6643220,45010406.8,2974331555.42,2691686400.0
2017-12-15,'300345,綻迻陔第,6.92,7.05,6.82,7.05,7.0,-0.08,-1.1429,1.8945,7565720,52300722.6,3053764742.36,2763571200.0
2017-12-14,'300345,綻迻陔第,7.0,7.29,6.93,7.29,7.27,-0.27,-3.7139,3.2055,12801520,90425188.2,3089068381.0,2795520000.0
2017-12-13,'300345,綻迻陔第,7.27,7.27,7.12,7.18,7.2,0.07,0.9722,1.9436,7762124,55929988.6,3208218161.41,2903347200.0
2017-12-12,'300345,綻迻陔第,7.2,7.55,7.15,7.54,7.54,-0.34,-4.5093,3.4712,13862420,101544797.2,3177327477.6,2875392000.0
2017-12-11,'300345,綻迻陔第,7.54,7.61,7.42,7.61,7.62,-0.08,-1.0499,2.7486,10976792,82461069.04,3327367941.82,3011174400.0
2017-12-08,'300345,綻迻陔第,7.62,7.71,7.52,7.63,7.63,-0.01,-0.1311,3.6815,14702627,111516573.99,3362671580.46,3043123200.0
2017-12-07,'300345,綻迻陔第,7.63,7.72,7.33,7.41,7.51,0.12,1.5979,4.947,19756496,149271343.42,3367084535.29,3047116800.0
2017-12-06,'300345,綻迻陔第,7.51,7.54,7.1,7.25,7.46,0.05,0.6702,4.3563,17397481,126134756.04,3314129077.33,2999193600.0
2017-12-05,'300345,綻迻陔第,7.46,8.1,7.28,7.79,7.63,-0.17,-2.228,6.6338,26492662,204470652.08,3292064303.18,2979225600.0
