日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-05,'002785,万里石,13.9,14.04,13.76,13.85,13.88,0.02,0.1441,2.4604,2406000,33543024.98,2780000000.0,1359263916.9
2018-01-04,'002785,万里石,13.88,14.08,13.8,13.94,14.07,-0.19,-1.3504,3.411,3335600,46358504.0,2776000000.0,1357308141.48
2018-01-03,'002785,万里石,14.07,14.36,13.46,13.57,13.57,0.5,3.6846,7.1052,6948126,97083034.14,2814000000.0,1375888007.97
2018-01-02,'002785,万里石,13.57,13.59,13.26,13.37,13.4,0.17,1.2687,1.8921,1850250,24920576.5,2714000000.0,1326993622.47
2017-12-29,'002785,万里石,13.4,13.54,13.21,13.29,13.3,0.1,0.7519,1.5898,1554620,20765770.4,2680000000.0,1310369531.4
2017-12-28,'002785,万里石,13.3,13.66,13.3,13.5,13.54,-0.24,-1.7725,2.2051,2156320,28976602.02,2660000000.0,1300590654.3
2017-12-27,'002785,万里石,13.54,13.73,13.41,13.73,13.76,-0.22,-1.5988,2.7766,2715221,36793067.65,2708000000.0,1324059959.34
2017-12-26,'002785,万里石,13.76,13.81,13.49,13.65,13.7,0.06,0.438,4.6688,4565533,62465372.95,2752000000.0,1345573488.96
2017-12-25,'002785,万里石,13.7,13.95,13.14,13.4,13.4,0.3,2.2388,5.3627,5244140,71167086.0,2740000000.0,1339706162.7
2017-12-22,'002785,万里石,13.4,13.6,13.05,13.05,13.18,0.22,1.6692,3.225,3153715,42177242.2,2680000000.0,1310369531.4
2017-12-21,'002785,万里石,13.18,13.45,12.85,13.1,13.04,0.14,1.0736,2.2356,2186210,28804634.9,2636000000.0,1288856001.78
2017-12-20,'002785,万里石,13.04,13.35,12.95,13.31,13.37,-0.33,-2.4682,1.4638,1431400,18760376.0,2608000000.0,1275165573.84
2017-12-19,'002785,万里石,13.37,13.48,13.31,13.42,13.45,-0.08,-0.5948,1.3233,1294000,17324069.0,2674000000.0,1307435868.27
2017-12-18,'002785,万里石,13.45,13.64,12.9,13.25,13.36,0.09,0.6737,2.3969,2343899,31099121.48,2690000000.0,1315258969.95
2017-12-15,'002785,万里石,13.36,13.8,13.16,13.21,13.22,0.14,1.059,2.4498,2395625,32192555.75,2672000000.0,1306457980.56
