日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-15,'002556,辉隆股份,8.0,8.13,7.79,7.82,7.84,0.16,2.0408,2.0264,14541626,115624559.7,5740800000.0,5740800000.0
2017-12-14,'002556,辉隆股份,7.84,7.89,7.7,7.75,7.76,0.08,1.0309,1.1801,8468666,66183169.43,5625984000.0,5625984000.0
2017-12-13,'002556,辉隆股份,7.76,7.78,7.65,7.65,7.7,0.06,0.7792,0.5909,4240466,32738720.07,5568576000.0,5568576000.0
2017-12-12,'002556,辉隆股份,7.7,7.93,7.68,7.9,7.84,-0.14,-1.7857,1.2709,9119960,71140064.34,5525520000.0,5525520000.0
2017-12-11,'002556,辉隆股份,7.84,7.85,7.49,7.59,7.56,0.28,3.7037,1.3373,9596537,73393411.68,5625984000.0,5625984000.0
2017-12-08,'002556,辉隆股份,7.56,7.62,7.35,7.37,7.42,0.14,1.8868,0.5838,4189346,31521631.3,5425056000.0,5425056000.0
2017-12-07,'002556,辉隆股份,7.42,7.6,7.41,7.48,7.5,-0.08,-1.0667,0.6852,4917252,36799925.4,5324592000.0,5324592000.0
2017-12-06,'002556,辉隆股份,7.5,7.58,7.21,7.35,7.33,0.17,2.3192,0.8187,5875033,43690505.18,5382000000.0,5382000000.0
2017-12-05,'002556,辉隆股份,7.33,7.75,7.29,7.71,7.72,-0.39,-5.0518,0.9567,6865399,51511521.54,5260008000.0,5260008000.0
2017-12-04,'002556,辉隆股份,7.72,7.94,7.71,7.94,7.93,-0.21,-2.6482,0.6291,4514600,35223423.19,5539872000.0,5539872000.0
2017-12-01,'002556,辉隆股份,7.93,7.99,7.88,7.99,7.92,0.01,0.1263,0.5667,4066500,32254602.98,5690568000.0,5690568000.0
2017-11-30,'002556,辉隆股份,7.92,7.98,7.83,7.89,7.91,0.01,0.1264,0.7179,5151547,40851016.36,5683392000.0,5683392000.0
2017-11-29,'002556,辉隆股份,7.91,7.92,7.7,7.77,7.77,0.14,1.8018,0.8074,5793850,45234338.02,5676216000.0,5676216000.0
2017-11-28,'002556,辉隆股份,7.77,7.77,7.58,7.64,7.58,0.19,2.5066,0.8272,5935636,45525641.34,5575752000.0,5575752000.0
2017-11-27,'002556,辉隆股份,7.58,7.88,7.45,7.66,7.95,-0.37,-4.6541,1.105,7929837,60570009.79,5439408000.0,5439408000.0
2017-11-24,'002556,辉隆股份,0.0,0.0,0.0,0.0,7.95,None,None,0.0,0,0.0,5704920000.0,5704920000.0
2017-11-23,'002556,辉隆股份,0.0,0.0,0.0,0.0,7.95,None,None,0.0,0,0.0,5704920000.0,5704920000.0
2017-11-22,'002556,辉隆股份,0.0,0.0,0.0,0.0,7.95,None,None,0.0,0,0.0,5704920000.0,5704920000.0
2017-11-21,'002556,辉隆股份,0.0,0.0,0.0,0.0,7.95,None,None,0.0,0,0.0,5704920000.0,5704920000.0
2017-11-20,'002556,辉隆股份,0.0,0.0,0.0,0.0,7.95,None,None,0.0,0,0.0,5704920000.0,5704920000.0
2017-11-17,'002556,辉隆股份,7.95,8.03,7.78,7.88,7.85,0.1,1.2739,1.545,11087120,87725377.14,5704920000.0,5704920000.0
2017-11-16,'002556,辉隆股份,7.85,8.1,7.76,7.76,7.75,0.1,1.2903,1.5452,11088260,88048312.41,5633160000.0,5633160000.0
2017-11-15,'002556,辉隆股份,7.75,7.94,7.71,7.89,7.85,-0.1,-1.2739,0.8759,6285597,49252566.08,5561400000.0,5561400000.0
2017-11-14,'002556,辉隆股份,7.85,8.01,7.85,8.01,7.99,-0.14,-1.7522,0.961,6896380,54456201.07,5633160000.0,5633160000.0
2017-11-13,'002556,辉隆股份,7.99,8.03,7.81,7.96,7.96,0.03,0.3769,1.0597,7604062,60356056.99,5733624000.0,5733624000.0
2017-11-10,'002556,辉隆股份,7.96,8.27,7.87,8.21,8.21,-0.25,-3.0451,2.772,19891827,159046328.5,5712096000.0,5712096000.0
2017-11-09,'002556,辉隆股份,8.21,8.29,8.19,8.28,8.3,-0.09,-1.0843,0.9906,7108797,58496858.72,5891496000.0,5891496000.0
2017-11-08,'002556,辉隆股份,8.3,8.4,8.22,8.29,8.33,-0.03,-0.3601,1.057,7584850,63080417.0,5956080000.0,5956080000.0
2017-11-07,'002556,辉隆股份,8.33,8.42,8.2,8.34,8.37,-0.04,-0.4779,1.1336,8135060,67498971.02,5977608000.0,5977608000.0
2017-11-06,'002556,辉隆股份,8.37,8.42,8.2,8.26,8.18,0.19,2.3227,1.2224,8771600,73047729.5,6006312000.0,6006312000.0
2017-11-03,'002556,辉隆股份,8.18,8.26,8.12,8.15,8.16,0.02,0.2451,1.1339,8136928,66575950.28,5869968000.0,5869968000.0
2017-11-02,'002556,辉隆股份,8.16,8.4,8.15,8.35,8.36,-0.2,-2.3923,1.5085,10825350,89201416.48,5855616000.0,5855616000.0
2017-11-01,'002556,辉隆股份,8.36,8.54,8.35,8.48,8.47,-0.11,-1.2987,1.4806,10624623,89490585.03,5999136000.0,5999136000.0
2017-10-31,'002556,辉隆股份,8.47,8.79,8.41,8.78,8.83,-0.36,-4.077,2.6491,19010221,162141077.1,6078072000.0,6078072000.0
2017-10-30,'002556,辉隆股份,8.83,9.16,8.75,8.99,9.04,-0.21,-2.323,2.1459,15399283,137422286.09,6336408000.0,6336408000.0
2017-10-27,'002556,辉隆股份,9.04,9.09,8.85,8.88,8.9,0.14,1.573,2.0848,14960600,134707873.47,6487104000.0,6487104000.0
2017-10-26,'002556,辉隆股份,8.9,9.08,8.85,8.94,8.94,-0.04,-0.4474,2.04,14639124,131234908.18,6386640000.0,6386640000.0
2017-10-25,'002556,辉隆股份,8.94,9.1,8.83,9.1,9.1,-0.16,-1.7582,2.2219,15944030,142805748.82,6415344000.0,6415344000.0
2017-10-24,'002556,辉隆股份,9.1,9.18,8.82,8.95,8.99,0.11,1.2236,2.75,19733748,177838172.9,6530160000.0,6530160000.0
2017-10-23,'002556,辉隆股份,8.99,9.25,8.97,9.2,9.2,-0.21,-2.2826,2.9882,21443645,194670473.49,6451224000.0,6451224000.0
2017-10-20,'002556,辉隆股份,9.2,9.25,8.8,8.83,9.04,0.16,1.7699,4.4239,31745906,287095886.92,6601920000.0,6601920000.0
2017-10-19,'002556,辉隆股份,9.04,9.3,8.93,9.23,9.44,-0.4,-4.2373,7.0435,50544008,459424259.76,6487104000.0,6487104000.0
2017-10-18,'002556,辉隆股份,9.44,10.02,8.94,8.99,9.11,0.33,3.6224,11.6284,83445383,810728095.87,6774144000.0,6774144000.0
2017-10-17,'002556,辉隆股份,9.11,9.18,8.61,8.83,9.01,0.1,1.1099,4.2626,30588504,270609849.54,6537336000.0,6537336000.0
2017-10-16,'002556,辉隆股份,9.01,9.55,9.01,9.27,9.16,-0.15,-1.6376,4.6526,33386780,309071767.75,6465576000.0,6465576000.0
2017-10-13,'002556,辉隆股份,9.16,9.25,8.88,8.92,8.93,0.23,2.5756,3.7819,27139166,247029841.57,6573216000.0,6573216000.0
2017-10-12,'002556,辉隆股份,8.93,9.0,8.75,8.99,8.93,0.0,0.0,2.4525,17599363,156170325.5,6408168000.0,6408168000.0
2017-10-11,'002556,辉隆股份,8.93,9.38,8.81,9.06,8.95,-0.02,-0.2235,6.2065,44537503,403689946.46,6408168000.0,6408168000.0
2017-10-10,'002556,辉隆股份,8.95,9.25,8.47,8.48,8.5,0.45,5.2941,5.37,38534865,341746721.53,6422520000.0,6422520000.0
2017-10-09,'002556,辉隆股份,8.5,8.57,8.25,8.38,8.3,0.2,2.4096,2.3227,16667427,140586117.76,6099600000.0,6099600000.0
2017-09-29,'002556,辉隆股份,8.3,8.39,8.24,8.32,8.25,0.05,0.6061,1.197,8589641,71260566.71,5956080000.0,5956080000.0
2017-09-28,'002556,辉隆股份,8.25,8.37,8.04,8.04,8.04,0.21,2.6119,2.075,14890427,122755268.8,5920200000.0,5920200000.0
2017-09-27,'002556,辉隆股份,8.04,8.11,8.01,8.02,8.05,-0.01,-0.1242,0.7766,5573078,44955201.13,5769504000.0,5769504000.0
2017-09-26,'002556,辉隆股份,8.05,8.1,7.98,8.02,8.04,0.01,0.1244,0.7173,5147550,41392282.9,5776680000.0,5776680000.0
2017-09-25,'002556,辉隆股份,8.04,8.27,8.03,8.23,8.23,-0.19,-2.3086,1.0007,7181292,58263575.68,5769504000.0,5769504000.0
2017-09-22,'002556,辉隆股份,8.23,8.24,8.1,8.1,8.19,0.04,0.4884,1.2519,8983812,73374828.64,5905848000.0,5905848000.0
2017-09-21,'002556,辉隆股份,8.19,8.38,8.18,8.24,8.21,-0.02,-0.2436,1.7576,12612448,104270550.96,5877144000.0,5877144000.0
2017-09-20,'002556,辉隆股份,8.21,8.27,8.14,8.23,8.25,-0.04,-0.4848,1.449,10398092,85417948.59,5891496000.0,5891496000.0
2017-09-19,'002556,辉隆股份,8.25,8.37,8.24,8.37,8.4,-0.15,-1.7857,1.5045,10796305,89542671.09,5920200000.0,5920200000.0
2017-09-18,'002556,辉隆股份,8.4,8.47,8.2,8.41,8.4,0.0,0.0,2.6385,18933859,157382056.44,6027840000.0,6027840000.0
2017-09-15,'002556,辉隆股份,8.4,8.44,8.2,8.24,8.2,0.2,2.439,3.9621,28432049,236713147.4,6027840000.0,6027840000.0
2017-09-14,'002556,辉隆股份,8.2,8.45,8.11,8.2,7.87,0.33,4.1931,5.4587,39171910,321955543.22,5884320000.0,5884320000.0
2017-09-13,'002556,辉隆股份,7.87,7.92,7.71,7.71,7.72,0.15,1.943,1.6407,11773898,92385939.39,5647512000.0,5647512000.0
2017-09-12,'002556,辉隆股份,7.72,7.87,7.69,7.81,7.82,-0.1,-1.2788,1.6493,11835154,91747100.81,5539872000.0,5539872000.0
2017-09-11,'002556,辉隆股份,7.82,7.94,7.74,7.85,7.76,0.06,0.7732,1.5123,10852520,85165293.47,5611632000.0,5611632000.0
