日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-15,'002425,凯撒文化,7.98,8.07,7.9,8.06,8.01,-0.03,-0.3745,0.333,2535567,20145704.84,6493680567.36,6076153098.12
2017-12-14,'002425,凯撒文化,8.01,8.02,7.9,7.99,7.97,0.04,0.5019,0.3872,2948288,23469918.81,6518092900.32,6098995778.94
2017-12-13,'002425,凯撒文化,7.97,8.03,7.9,8.03,8.03,-0.06,-0.7472,0.2779,2116298,16854050.96,6485543123.04,6068538871.18
2017-12-12,'002425,凯撒文化,8.03,8.1,7.95,8.1,8.11,-0.08,-0.9864,0.2875,2188900,17585923.63,6534367788.96,6114224232.82
2017-12-11,'002425,凯撒文化,8.11,8.12,8.05,8.1,8.12,-0.01,-0.1232,0.3303,2515100,20326212.6,6599467343.52,6175138048.34
2017-12-08,'002425,凯撒文化,8.12,8.12,7.91,8.01,7.97,0.15,1.8821,0.4538,3455020,27702974.4,6607604787.84,6182752275.28
2017-12-07,'002425,凯撒文化,7.97,8.1,7.87,8.1,7.98,-0.01,-0.1253,0.3922,2986587,23742065.92,6485543123.04,6068538871.18
2017-12-06,'002425,凯撒文化,7.98,8.05,7.9,8.01,8.09,-0.11,-1.3597,0.3347,2548508,20287085.38,6493680567.36,6076153098.12
2017-12-05,'002425,凯撒文化,8.09,8.16,7.79,8.11,8.15,-0.06,-0.7362,0.7844,5972543,47718832.75,6583192454.88,6159909594.46
2017-12-04,'002425,凯撒文化,8.15,8.27,8.12,8.25,8.25,-0.1,-1.2121,0.2233,1700470,13921825.9,6632017120.8,6205594956.1
2017-12-01,'002425,凯撒文化,8.25,8.28,8.15,8.2,8.23,0.02,0.243,0.2414,1838156,15131704.89,6713391564.0,6281737225.5
2017-11-30,'002425,凯撒文化,8.23,8.25,8.15,8.22,8.25,-0.02,-0.2424,0.3915,2981110,24404876.11,6697116675.36,6266508771.62
