ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-01-18,'002477,³ûÓ¥Å©ÄÁ,4.51,4.56,4.5,4.53,4.54,-0.03,-0.6608,0.684,21444699,97038688.35,14139569931.3,14139569931.3
2018-01-17,'002477,³ûÓ¥Å©ÄÁ,4.54,4.59,4.43,4.5,4.52,0.02,0.4425,1.2682,39761533,179426676.24,14233624720.2,14233624720.2
2018-01-16,'002477,³ûÓ¥Å©ÄÁ,4.52,4.58,4.41,4.42,4.42,0.1,2.2624,1.6725,52435241,236262868.9,14170921527.6,14170921527.6
2018-01-15,'002477,³ûÓ¥Å©ÄÁ,4.42,4.55,4.41,4.54,4.55,-0.13,-2.8571,1.1234,35219595,157067329.84,13857405564.6,13857405564.6
2018-01-12,'002477,³ûÓ¥Å©ÄÁ,4.55,4.62,4.55,4.6,4.62,-0.07,-1.5152,0.7653,23994453,109745571.21,14264976316.5,14264976316.5
2018-01-11,'002477,³ûÓ¥Å©ÄÁ,4.62,4.64,4.59,4.61,4.6,0.02,0.4348,0.7457,23379143,107752145.56,14484437490.6,14484437490.6
2018-01-10,'002477,³ûÓ¥Å©ÄÁ,4.6,4.68,4.57,4.68,4.67,-0.07,-1.4989,1.3276,41622099,191810926.24,14421734298.0,14421734298.0
2018-01-09,'002477,³ûÓ¥Å©ÄÁ,4.67,4.82,4.62,4.7,4.7,-0.03,-0.6383,2.2681,71109016,334783726.19,14641195472.1,14641195472.1
2018-01-08,'002477,³ûÓ¥Å©ÄÁ,4.7,4.76,4.64,4.65,4.65,0.05,1.0753,2.1874,68577381,323384262.11,14735250261.0,14735250261.0
2018-01-05,'002477,³ûÓ¥Å©ÄÁ,4.65,4.67,4.54,4.56,4.58,0.07,1.5284,1.8023,56503634,261385220.37,14578492279.5,14578492279.5
2018-01-04,'002477,³ûÓ¥Å©ÄÁ,4.58,4.6,4.53,4.58,4.61,-0.03,-0.6508,1.0893,34151579,155811501.18,14359031105.4,14359031105.4
2018-01-03,'002477,³ûÓ¥Å©ÄÁ,4.61,4.62,4.44,4.46,4.46,0.15,3.3632,1.8087,56705606,257542842.1,14453085894.3,14453085894.3
2018-01-02,'002477,³ûÓ¥Å©ÄÁ,4.46,4.47,4.43,4.45,4.44,0.02,0.4505,1.24,38875019,173019716.14,13982811949.8,13982811949.8
2017-12-29,'002477,³ûÓ¥Å©ÄÁ,4.44,4.45,4.41,4.43,4.43,0.01,0.2257,0.4292,13456280,59616938.6,13920108757.2,13920108757.2
2017-12-28,'002477,³ûÓ¥Å©ÄÁ,4.43,4.46,4.4,4.43,4.4,0.03,0.6818,0.5456,17105936,75882961.77,13888757160.9,13888757160.9
2017-12-27,'002477,³ûÓ¥Å©ÄÁ,4.4,4.47,4.38,4.41,4.43,-0.03,-0.6772,0.857,26869600,118982732.0,13794702372.0,13794702372.0
2017-12-26,'002477,³ûÓ¥Å©ÄÁ,4.43,4.52,4.38,4.49,4.51,-0.08,-1.7738,1.2008,37645872,166511860.55,13888757160.9,13888757160.9
2017-12-25,'002477,³ûÓ¥Å©ÄÁ,4.51,4.6,4.51,4.56,4.59,-0.08,-1.7429,0.9031,28314200,128777567.0,14139569931.3,14139569931.3
2017-12-22,'002477,³ûÓ¥Å©ÄÁ,4.59,4.63,4.56,4.58,4.59,0.0,0.0,0.6326,19831767,91091207.8,14390382701.7,14390382701.7
2017-12-21,'002477,³ûÓ¥Å©ÄÁ,4.59,4.64,4.53,4.58,4.62,-0.03,-0.6494,1.0373,32522576,149149796.24,14390382701.7,14390382701.7
2017-12-20,'002477,³ûÓ¥Å©ÄÁ,4.62,4.64,4.51,4.6,4.59,0.03,0.6536,1.3631,42736254,195164092.63,14484437490.6,14484437490.6
2017-12-19,'002477,³ûÓ¥Å©ÄÁ,4.59,4.61,4.55,4.56,4.58,0.01,0.2183,1.0055,31524475,144285678.93,14390382701.7,14390382701.7
2017-12-18,'002477,³ûÓ¥Å©ÄÁ,4.58,4.78,4.53,4.75,4.79,-0.21,-4.3841,2.2235,69709794,322834502.4,14359031105.4,14359031105.4
2017-12-15,'002477,³ûÓ¥Å©ÄÁ,4.79,4.87,4.78,4.81,4.82,-0.03,-0.6224,1.4559,45644147,220021774.1,15017414627.7,15017414627.7
2017-12-14,'002477,³ûÓ¥Å©ÄÁ,4.82,4.85,4.77,4.83,4.85,-0.03,-0.6186,1.4109,44232745,212540532.83,15111469416.6,15111469416.6
