ШеЦк,ЙЩЦБДњТы,УћГЦ,ЪеХЬМл,зюИпМл,зюЕЭМл,ПЊХЬМл,ЧАЪеХЬ,еЧЕјЖю,еЧЕјЗљ,ЛЛЪжТЪ,ГЩНЛСП,ГЩНЛН№Жю,змЪажЕ,СїЭЈЪажЕ
2016-12-30,'002287,Цце§ВивЉ,44.29,46.49,44.0,45.99,46.0,-1.71,-3.7174,0.8197,3328064,150442594.87,17981740000.0,17981740000.0
2016-12-29,'002287,Цце§ВивЉ,46.0,46.4,45.16,45.42,45.15,0.85,1.8826,1.0063,4085447,187120041.26,18676000000.0,18676000000.0
2016-12-28,'002287,Цце§ВивЉ,45.15,47.05,45.05,46.15,46.4,-1.25,-2.694,0.8813,3577880,164828576.66,18330900000.0,18330900000.0
2016-12-27,'002287,Цце§ВивЉ,46.4,47.57,45.5,46.2,46.3,0.1,0.216,1.2057,4895119,227707440.64,18838400000.0,18838400000.0
2016-12-26,'002287,Цце§ВивЉ,46.3,46.39,43.01,43.8,44.3,2.0,4.5147,1.1568,4696681,210345542.49,18797800000.0,18797800000.0
2016-12-23,'002287,Цце§ВивЉ,44.3,48.38,44.28,47.78,48.54,-4.24,-8.7351,1.6366,6644493,306654693.36,17985800000.0,17985800000.0
2016-12-22,'002287,Цце§ВивЉ,48.54,50.5,47.58,48.44,48.89,-0.35,-0.7159,2.2792,9253473,454132500.29,19707240000.0,19707240000.0
2016-12-21,'002287,Цце§ВивЉ,48.89,50.0,45.11,45.3,45.56,3.33,7.309,2.7104,11004056,528696433.95,19849340000.0,19849340000.0
2016-12-20,'002287,Цце§ВивЉ,45.56,46.29,43.4,43.41,43.9,1.66,3.7813,1.5663,6359004,285777559.64,18497360000.0,18497360000.0
2016-12-19,'002287,Цце§ВивЉ,43.9,45.27,43.41,44.0,43.59,0.31,0.7112,0.9093,3691949,163221215.73,17823400000.0,17823400000.0
2016-12-16,'002287,Цце§ВивЉ,43.59,44.2,43.0,43.35,43.54,0.05,0.1148,1.0362,4207101,184216403.35,17697540000.0,17697540000.0
2016-12-15,'002287,Цце§ВивЉ,43.54,43.78,42.02,42.02,42.7,0.84,1.9672,1.0749,4364205,188619867.9,17677240000.0,17677240000.0
