日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-22,'002264,新 华 都,10.4,10.87,10.35,10.68,10.89,-0.49,-4.4995,6.4004,36958447,390823204.71,7119464352.0,6005370519.2
2017-12-21,'002264,新 华 都,10.89,11.11,10.7,11.09,11.26,-0.37,-3.286,6.3765,36820387,400983302.17,7454900653.2,6288315860.97
2017-12-20,'002264,新 华 都,11.26,11.68,11.01,11.16,11.25,0.01,0.0889,9.0238,52106809,590838655.12,7708189288.8,6501968465.98
2017-12-19,'002264,新 华 都,11.25,11.42,10.79,11.2,11.51,-0.26,-2.2589,8.9545,51706815,573096623.35,7701343650.0,6496194071.25
2017-12-18,'002264,新 华 都,11.51,12.95,11.51,12.5,12.79,-1.28,-10.0078,9.4766,54721916,645586002.78,7879330258.8,6646328334.23
2017-12-15,'002264,新 华 都,12.79,13.12,11.87,12.16,12.33,0.46,3.7307,13.3829,77278162,973424445.08,8755572025.2,7385450859.67
2017-12-14,'002264,新 华 都,12.33,12.75,11.36,11.5,11.7,0.63,5.3846,14.3991,83145839,1000745208.27,8440672640.4,7119828702.09
2017-12-13,'002264,新 华 都,11.7,11.95,10.92,11.29,11.3,0.4,3.5398,13.4957,77929776,884154245.64,8009397396.0,6756041834.1
2017-12-12,'002264,新 华 都,11.3,11.66,11.07,11.5,11.44,-0.14,-1.2238,13.2877,76728235,869224033.79,7735571844.0,6525066044.9
2017-12-11,'002264,新 华 都,11.44,11.44,10.88,10.96,10.4,1.04,10.0,15.9618,92169558,1036340429.51,7831410787.2,6605907571.12
2017-12-08,'002264,新 华 都,10.4,10.4,9.43,9.45,9.45,0.95,10.0529,5.3842,31090613,310576667.23,7119464352.0,6005370519.2
2017-12-07,'002264,新 华 都,9.45,9.68,9.4,9.48,9.39,0.06,0.639,2.7487,15871866,150943130.42,6469128666.0,5456803019.85
2017-12-06,'002264,新 华 都,9.39,9.39,9.15,9.17,9.16,0.23,2.5109,2.5503,14726466,136639482.18,6428054833.2,5422156651.47
2017-12-05,'002264,新 华 都,9.16,9.57,9.01,9.39,9.46,-0.3,-3.1712,3.401,19638931,182786434.06,6270605140.8,5289345572.68
2017-12-04,'002264,新 华 都,9.46,10.19,9.34,10.08,10.13,-0.67,-6.614,4.0333,23289612,228131390.23,6475974304.8,5462577414.58
2017-12-01,'002264,新 华 都,10.13,10.16,9.75,9.86,9.95,0.18,1.809,3.0425,17568643,176260498.54,6934632104.4,5849461861.49
2017-11-30,'002264,新 华 都,9.95,10.44,9.9,10.39,10.45,-0.5,-4.7847,4.464,25776864,261430679.89,6811410606.0,5745522756.35
2017-11-29,'002264,新 华 都,10.45,10.56,10.1,10.25,10.29,0.16,1.5549,4.4523,25709552,266066905.16,7153692546.0,6034242492.85
2017-11-28,'002264,新 华 都,10.29,10.52,10.02,10.05,10.07,0.22,2.1847,3.5875,20715391,212885142.97,7044162325.2,5941852177.17
2017-11-27,'002264,新 华 都,10.07,10.39,9.95,10.07,10.2,-0.13,-1.2745,3.3571,19385404,196989158.25,6893558271.6,5814815493.11
2017-11-24,'002264,新 华 都,10.2,10.43,9.9,10.0,10.02,0.18,1.7964,4.0141,23178945,234737609.64,6982551576.0,5889882624.6
2017-11-23,'002264,新 华 都,10.02,10.47,9.83,10.13,10.28,-0.26,-2.5292,3.6172,20887300,213578583.16,6859330077.6,5785943519.46
2017-11-22,'002264,新 华 都,10.28,10.6,10.25,10.5,10.63,-0.35,-3.2926,3.6155,20877090,217679088.54,7037316686.4,5936077782.44
2017-11-21,'002264,新 华 都,10.63,11.0,10.13,10.47,10.4,0.23,2.2115,5.9279,34229776,361282560.9,7276914044.4,6138181597.99
2017-11-20,'002264,新 华 都,10.4,10.47,10.01,10.43,10.36,0.04,0.3861,3.6884,21298180,219026091.29,7119464352.0,6005370519.2
2017-11-17,'002264,新 华 都,10.36,11.01,10.2,10.96,10.9,-0.54,-4.9541,5.3576,30936644,329685266.45,7092081796.8,5982272940.28
2017-11-16,'002264,新 华 都,10.9,11.52,10.84,11.34,11.59,-0.69,-5.9534,5.7939,33456029,374730728.23,7461746292.0,6294090255.7
