хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2017-12-15,'603385,╩щ╢Онют║,22.9,23.19,22.41,22.51,22.65,0.25,1.1038,3.5793,2542710,57848211.0,6507060441.9,1626816000.0
2017-12-14,'603385,╩щ╢Онют║,22.65,22.74,22.42,22.7,22.72,-0.07,-0.3081,1.8422,1308684,29538317.0,6436022664.15,1609056000.0
2017-12-13,'603385,╩щ╢Онют║,22.72,23.0,22.34,22.48,22.53,0.19,0.8433,2.738,1945050,43968437.0,6455913241.92,1614028800.0
2017-12-12,'603385,╩щ╢Онют║,22.53,23.26,22.51,23.18,23.24,-0.71,-3.0551,3.4657,2462002,56189133.0,6401924530.83,1600531200.0
2017-12-11,'603385,╩щ╢Онют║,23.24,23.3,23.05,23.22,23.24,0.0,0.0,2.7105,1925550,44609038.0,6603671819.64,1650969600.0
2017-12-08,'603385,╩щ╢Онют║,23.24,23.44,22.61,22.75,22.71,0.53,2.3338,3.4036,2417883,55873965.0,6603671819.64,1650969600.0
2017-12-07,'603385,╩щ╢Онют║,22.71,22.94,22.64,22.9,22.98,-0.27,-1.1749,2.1799,1548611,35308785.0,6453071730.81,1613318400.0
2017-12-06,'603385,╩щ╢Онют║,22.98,22.99,22.5,22.66,22.63,0.35,1.5466,3.1291,2222947,50675422.0,6529792530.78,1632499200.0
2017-12-05,'603385,╩щ╢Онют║,22.63,23.47,22.38,23.3,23.47,-0.84,-3.579,4.2215,2998959,68497039.0,6430339641.93,1607635200.0
2017-12-04,'603385,╩щ╢Онют║,23.47,23.88,23.35,23.61,24.19,-0.72,-2.9764,5.0338,3576018,84340513.0,6669026575.17,1667308800.0
2017-12-01,'603385,╩щ╢Онют║,24.19,24.85,24.01,24.01,23.47,0.72,3.0677,9.4375,6704404,163775657.0,6873615375.09,1718457600.0
2017-11-30,'603385,╩щ╢Онют║,23.47,24.11,23.01,23.01,22.92,0.55,2.3997,5.7918,4114500,97312802.0,6669026575.17,1667308800.0
2017-11-29,'603385,╩щ╢Онют║,22.92,23.1,22.65,23.1,22.96,-0.04,-0.1742,2.5051,1779604,40637464.0,6512743464.12,1628236800.0
2017-11-28,'603385,╩щ╢Онют║,22.96,23.5,22.91,23.5,22.38,0.58,2.5916,3.8288,2719963,62943876.0,6524109508.56,1631078400.0
2017-11-27,'603385,╩щ╢Онют║,22.38,22.95,22.22,22.27,22.39,-0.01,-0.0447,2.8611,2032500,45920650.0,6359301864.18,1589875200.0
2017-11-24,'603385,╩щ╢Онют║,22.39,22.86,22.2,22.43,22.63,-0.24,-1.0605,3.2371,2299619,51771316.0,6362143375.29,1590585600.0
2017-11-23,'603385,╩щ╢Онют║,22.63,23.85,22.61,23.84,23.93,-1.3,-5.4325,4.8242,3427132,79655292.0,6430339641.93,1607635200.0
2017-11-22,'603385,╩щ╢Онют║,23.93,24.28,23.8,24.16,24.07,-0.14,-0.5816,2.7763,1972300,47383908.0,6799736086.23,1699987200.0
2017-11-21,'603385,╩щ╢Онют║,24.07,24.25,23.51,24.07,24.08,-0.01,-0.0415,3.5274,2505900,59925916.0,6839517241.77,1709932800.0
2017-11-20,'603385,╩щ╢Онют║,24.08,24.25,23.36,23.6,24.29,-0.21,-0.8646,3.7272,2647800,63130892.0,6842358752.88,1710643200.0
2017-11-17,'603385,╩щ╢Онют║,24.29,25.63,23.91,25.39,25.41,-1.12,-4.4077,7.5881,5390582,132860853.0,6902030486.19,1725561600.0
2017-11-16,'603385,╩щ╢Онют║,25.41,25.9,25.34,25.7,26.11,-0.7,-2.681,6.3614,4519157,115664353.0,7220279730.51,1805126400.0
2017-11-15,'603385,╩щ╢Онют║,26.11,26.68,25.7,25.95,25.64,0.47,1.8331,11.013,7823616,205453440.0,7419185508.21,1854854400.0
2017-11-14,'603385,╩щ╢Онют║,25.64,26.4,25.5,26.04,26.01,-0.37,-1.4225,5.5309,3929162,101915217.0,7285634486.04,1821465600.0
2017-11-13,'603385,╩щ╢Онют║,26.01,26.2,25.62,25.86,25.94,0.07,0.2699,5.5786,3963044,102896790.0,7390770397.11,1847750400.0
2017-11-10,'603385,╩щ╢Онют║,25.94,26.25,25.86,25.94,26.18,-0.24,-0.9167,6.686,4749728,123614036.0,7370879819.34,1842777600.0
2017-11-09,'603385,╩щ╢Онют║,26.18,26.39,24.75,25.04,25.16,1.02,4.0541,10.4488,7422807,190489436.0,7439076085.98,1859827200.0
2017-11-08,'603385,╩щ╢Онют║,25.16,25.98,25.13,25.6,25.44,-0.28,-1.1006,6.4268,4565564,116639482.0,7149241952.76,1787366400.0
2017-11-07,'603385,╩щ╢Онют║,25.44,25.55,25.19,25.42,25.67,-0.23,-0.896,5.229,3714659,94273141.0,7228804263.84,1807257600.0
2017-11-06,'603385,╩щ╢Онют║,25.67,25.69,25.12,25.53,25.52,0.15,0.5878,7.5054,5331832,135511786.0,7294159019.37,1823596800.0
2017-11-03,'603385,╩щ╢Онют║,25.52,25.59,24.31,24.45,24.43,1.09,4.4617,9.0171,6405751,160736663.0,7251536352.72,1812940800.0
2017-11-02,'603385,╩щ╢Онют║,24.43,24.6,24.1,24.35,24.42,0.01,0.041,3.092,2196536,53618709.0,6941811641.73,1735507200.0
2017-11-01,'603385,╩щ╢Онют║,24.42,24.57,24.2,24.25,24.25,0.17,0.701,2.6872,1908990,46535776.0,6938970130.62,1734796800.0
2017-10-31,'603385,╩щ╢Онют║,24.25,24.28,23.91,24.28,24.0,0.25,1.0417,2.5508,1812065,43724635.0,6890664441.75,1722720000.0
2017-10-30,'603385,╩щ╢Онют║,24.0,25.3,23.9,25.18,25.51,-1.51,-5.9192,6.4231,4562976,110964567.0,6819626664.0,1704960000.0
2017-10-27,'603385,╩щ╢Онют║,25.51,25.62,25.32,25.5,25.56,-0.05,-0.1956,3.9451,2802629,71376853.0,7248694841.61,1812230400.0
2017-10-26,'603385,╩щ╢Онют║,25.56,25.73,25.3,25.41,25.39,0.17,0.6696,6.0406,4291252,109545265.0,7262902397.16,1815782400.0
2017-10-25,'603385,╩щ╢Онют║,25.39,25.42,24.65,24.71,24.69,0.7,2.8352,5.6032,3980526,100135800.0,7214596708.29,1803705600.0
2017-10-24,'603385,╩щ╢Онют║,24.69,25.08,24.41,24.84,25.07,-0.38,-1.5158,3.2891,2336572,57757747.0,7015690930.59,1753977600.0
2017-10-23,'603385,╩щ╢Онют║,25.07,25.45,24.09,24.09,24.22,0.85,3.5095,5.3759,3819004,95219049.0,7123668352.77,1780972800.0
2017-10-20,'603385,╩щ╢Онют║,24.22,24.29,23.8,23.9,23.88,0.34,1.4238,2.0722,1472100,35457193.0,6882139908.42,1720588800.0
2017-10-19,'603385,╩щ╢Онют║,23.88,24.65,23.8,24.57,24.51,-0.63,-2.5704,3.156,2242052,54041836.0,6785528530.68,1696435200.0
2017-10-18,'603385,╩щ╢Онют║,24.51,25.08,24.31,24.74,24.89,-0.38,-1.5267,3.4244,2432700,59931396.0,6964543730.61,1741190400.0
2017-10-17,'603385,╩щ╢Онют║,24.89,25.2,24.52,24.52,24.64,0.25,1.0146,2.9041,2063056,51297215.0,7072521152.79,1768185600.0
2017-10-16,'603385,╩щ╢Онют║,24.64,25.95,24.34,25.78,25.64,-1.0,-3.9002,5.1621,3667141,92385622.0,7001483375.04,1750425600.0
2017-10-13,'603385,╩щ╢Онют║,25.64,25.7,25.23,25.33,25.26,0.38,1.5044,4.1516,2949283,75327242.0,7285634486.04,1821465600.0
